COD_ZONA,VIAGENS_ATRAIDAS_POR_MOTIVO,QTD
7,Trabalho Indústria,8611.866530635662
7,Trabalho Comércio,23407.4011034842
7,Trabalho Serviços,23881.605692954618
7,Educação,14545.795421176525
7,Compras,10249.236771055897
7,Saúde,688.9778377184442
7,Lazer,3900.243895489103
7,Procurar Emprego,0
7,Assuntos Pessoais,4871.045673405629
7,Refeição,3524.3635845898816
8,Trabalho Indústria,5988.803198671998
8,Trabalho Comércio,3965.5514981196598
8,Trabalho Serviços,12808.12161027178
8,Educação,12945.523053723835
8,Compras,881.3049588485181
8,Saúde,313.5483784373107
8,Lazer,1169.7706604504551
8,Procurar Emprego,267.51894852226474
8,Assuntos Pessoais,1231.879071723963
8,Refeição,597.9751206044493
9,Trabalho Indústria,3602.808614692599
9,Trabalho Comércio,2817.3871989933227
9,Trabalho Serviços,13634.92948546532
9,Educação,9670.678073850362
9,Compras,818.0059110370291
9,Saúde,331.27024183797204
9,Lazer,649.0086395177152
9,Procurar Emprego,476.55775107639545
9,Assuntos Pessoais,4321.416671255719
9,Refeição,199.81416082307567
10,Trabalho Indústria,1537.7254182861045
10,Trabalho Comércio,2036.5266863965828
10,Trabalho Serviços,4705.02211941718
10,Educação,9058.66674326867
10,Compras,38.30005935341261
10,Saúde,217.29604526740417
10,Lazer,5435.030866969119
10,Procurar Emprego,0
10,Assuntos Pessoais,377.2622056116368
10,Refeição,624.6249726622779
11,Trabalho Indústria,1781.5898819521697
11,Trabalho Comércio,2256.6120738419495
11,Trabalho Serviços,2872.6250060441203
11,Educação,3197.8129343431397
11,Compras,205.11811313145822
11,Saúde,145.79825070273915
11,Lazer,88.09973750962179
11,Procurar Emprego,0
11,Assuntos Pessoais,833.1395729871205
11,Refeição,0
12,Trabalho Indústria,5277.791684502928
12,Trabalho Comércio,15756.44805679457
12,Trabalho Serviços,10768.342358981392
12,Educação,5954.325991371342
12,Compras,2538.1033510361995
12,Saúde,1022.4231362047856
12,Lazer,280.35938744209494
12,Procurar Emprego,403.45192246732796
12,Assuntos Pessoais,2231.460812504624
12,Refeição,691.1178108798384
13,Trabalho Indústria,2546.3425914782365
13,Trabalho Comércio,10186.272354587265
13,Trabalho Serviços,2424.406867435549
13,Educação,718.6493797386835
13,Compras,4307.276693388834
13,Saúde,45.890211171530005
13,Lazer,61.80530017459693
13,Procurar Emprego,171.53848301888047
13,Assuntos Pessoais,3732.3837084282477
13,Refeição,366.99166045850086
14,Trabalho Indústria,9181.634280061744
