COD_ZONA,VINCULO_EMPREGATICIO,QTD
53,Assalariado...3,294.2488363809527
53,Funcionário,346.23499166666704
53,...5,662.56559640882733
53,...6,102.31617107936519
53,Profissional,1009.7162283414639
53,Dono de,204.63234215873038
53,Trabalhador,0
53,...10,6344.57335338289
54,Assalariado...2,2107.6935489507055
54,Assalariado...3,549.6716006499571
54,Funcionário,307.95262689473611
54,...5,663.30605390225423
54,...6,198.61837866917244
54,Profissional,900.55318572765111
54,Dono de,162.18489909774399
54,Trabalhador,12.023308766917264
54,...10,4902.00360265914
55,Assalariado...2,3552.7811409099863
55,Assalariado...3,321.65721047794489
55,Funcionário,445.15571720169612
55,...5,2803.9746922077225
55,...6,148.38523906723205
55,Profissional,2095.1361544667116
55,Dono de,470.04244954517691
55,Trabalhador,0
55,...10,9837.13260387647
56,Assalariado...2,4728.6016690224305
56,Assalariado...3,878.70331661965679
56,Funcionário,1326.4418317115369
56,...5,2148.6845646933725
56,...6,691.98925666773437
56,Profissional,2111.8106875245703
56,Dono de,261.22036837606782
56,Trabalhador,130.61018418803391
56,...10,12278.0618788034
57,Assalariado...2,6150.5646880550948
57,Assalariado...3,759.98121620645145
57,Funcionário,685.80579896774179
57,...5,1714.647909994769
57,...6,599.37505593095023
57,Profissional,3266.0923599061898
57,Dono de,614.49450668770692
57,Trabalhador,0
57,...10,13790.9615357489
58,Assalariado...2,7187.6719082433592
58,Assalariado...3,2660.6061591529619
58,Funcionário,794.08448273291685
58,...5,4555.908590930916
58,...6,88.231609192546301
58,Profissional,969.46720073133474
58,Dono de,352.92643677018521
58,Trabalhador,0
58,...10,16608.8963877542
59,Assalariado...2,12629.877538240542
59,Assalariado...3,2159.1439825547582
59,Funcionário,1778.429958980232
59,...5,5325.371705239967
59,...6,995.6385845285638
59,Profissional,4854.4366486192421
59,Dono de,535.40779017323518
59,Trabalhador,0
59,...10,28278.3062083365
60,Assalariado...2,4526.4374894637667
60,Assalariado...3,194.60308711763247
60,Funcionário,970.29085467086747
60,...5,3458.4793200504055
60,...6,1021.1206205590466
60,Profissional,1812.6601069190967
60,Dono de,104.25392074602343
60,Trabalhador,0
60,...10,12087.8453995268
61,Assalariado...2,5799.401566802816
61,Assalariado...3,1278.3353485295775
61,Funcionário,1260.0191934991549
61,...5,4857.1131370191542
61,...6,633.15936857915483
61,Profissional,2291.221993645634
61,Dono de,452.85357364957747
61,Trabalhador,0
61,...10,16572.1041817251
62,Assalariado...2,798.19193608292858
62,Assalariado...3,0
62,Funcionário,189.37687148170789
62,...5,636.79399383536747
62,...6,118.6290470426833
62,Profissional,790.99097935609905
62,Dono de,165.49193533536638
62,Trabalhador,46.862888292683067
62,...10,2746.33765142684
63,Assalariado...2,566.21315003375355
63,Assalariado...3,40.937673797468236
63,Funcionário,30.37061698734168
63,...5,106.19276741772123
63,...6,177.29227412658179
63,Profissional,263.89026544303721
63,Dono de,60.323665822784633
63,Trabalhador,9.9147549198311928
63,...10,1255.13516854852
64,Assalariado...2,8247.4930444758993
64,Assalariado...3,849.70191102055844
64,Funcionário,697.06561934310309
64,...5,2718.2065258116404
64,...6,1500.1211963074036
64,Profissional,4072.0455666055004
64,Dono de,1567.4173223153214
64,Trabalhador,325.30158452937906
64,...10,19977.3527704088
65,Assalariado...2,8501.2648628112656
65,Assalariado...3,397.83079526104513
65,Funcionário,191.66217285140607
65,...5,2211.8057932530169
65,...6,899.73427421686938
65,Profissional,2830.2558909237009
65,Dono de,0
65,Trabalhador,0
65,...10,15032.5537893173
66,Assalariado...2,3148.0142786086831
66,Assalariado...3,407.20842144176873
66,Funcionário,244.61772909316664
66,...5,964.09948092856894
66,...6,632.31956808773032
66,Profissional,817.65486538276116
66,Dono de,435.46760225077509
66,Trabalhador,0
66,...10,6649.38194579345
67,Assalariado...2,2542.7738151349213
67,Assalariado...3,337.50094675324675
67,Funcionário,190.43612240259739
67,...5,1455.3180814855702
67,...6,403.42424522727265
67,Profissional,858.65930759956711
67,Dono de,261.43216334415581
67,Trabalhador,0
67,...10,6049.54468194733
68,Assalariado...2,10157.962353972296
68,Assalariado...3,0
68,Funcionário,1109.1259590110603
68,...5,471.86171509819974
68,...6,1415.9560940290385
68,Profissional,3376.0784821562747
68,Dono de,1069.0392230788327
68,Trabalhador,79.075243481327391
68,...10,17679.099070827
69,Assalariado...2,2404.0743897674411
69,Assalariado...3,30.641910821705427
69,Funcionário,422.54492576744195
69,...5,1450.7419391106409
69,...6,528.60973742635667
69,Profissional,1073.3902922790699
69,Dono de,134.43751751937987
69,Trabalhador,0
69,...10,6044.44071269204
70,Assalariado...2,3299.1570578626324
70,Assalariado...3,142.45969732142839
70,Funcionário,207.9590557435898
70,...5,535.10965822893729
