COD_ZONA,TIPO_RENDA,QTD
52,Per Capita,4445.4253354204075
52,Familiar...5,7000
53,Familiar...3,6847.543409552838
53,Per Capita,2647.7374438052507
53,Familiar...5,6483.397775533098
54,Familiar...3,5883.441536282598
54,Per Capita,2634.215597605584
54,Familiar...5,4689.119012599244
55,Familiar...3,5656.072107612175
55,Per Capita,2326.8698975098523
55,Familiar...5,5223.90246383501
56,Familiar...3,6742.92656475941
56,Per Capita,3086.715891968609
56,Familiar...5,6000
57,Familiar...3,7645.072427071335
57,Per Capita,3286.87177633144
57,Familiar...5,6142.579211762394
58,Familiar...3,5660.735275395306
58,Per Capita,2224.273865147451
58,Familiar...5,4500
59,Familiar...3,6236.808601886384
59,Per Capita,2449.7901893675385
59,Familiar...5,4442.6219037445335
60,Familiar...3,7303.002246052094
60,Per Capita,2753.213268427311
60,Familiar...5,5513.74861373784
61,Familiar...3,6199.690833896711
61,Per Capita,2661.896362272556
61,Familiar...5,5223.90246383501
62,Familiar...3,7225.875779066852
62,Per Capita,3154.693397555185
62,Familiar...5,6591.698887766549
63,Familiar...3,9962.573895991654
63,Per Capita,3013.928676733372
63,Familiar...5,9461.630457536376
64,Familiar...3,7888.495671754843
64,Per Capita,3514.689320558743
64,Familiar...5,6483.397775533098
65,Familiar...3,8587.202204289404
65,Per Capita,3830.0322368330685
65,Familiar...5,7623.5696729183865
66,Familiar...3,8522.223586097534
66,Per Capita,3755.146012926566
66,Familiar...5,6142.579211762394
67,Familiar...3,9187.41611901339
67,Per Capita,3862.1214834690727
67,Familiar...5,8046.560403221799
68,Familiar...3,6390.484213556552
68,Per Capita,2974.8558235142095
68,Familiar...5,6483.397775533098
69,Familiar...3,9031.617580085518
69,Per Capita,4459.478554538742
69,Familiar...5,8000
70,Familiar...3,6858.702711143875
70,Per Capita,3146.5754213366645
70,Familiar...5,5819.67676195421
71,Familiar...3,7290.730056814491
71,Per Capita,3010.569796324853
71,Familiar...5,6843.126521721684
72,Familiar...3,7390.500145799185
72,Per Capita,2869.9343017002593
72,Familiar...5,7222.81467427629
73,Familiar...3,8239.740670979781
73,Per Capita,3545.0270379240815
73,Familiar...5,5968
74,Familiar...3,9213.972078749932
74,Per Capita,4425.449473950816
74,Familiar...5,7623.5696729183865
75,Familiar...3,9653.004086139867
75,Per Capita,4621.974392334232
75,Familiar...5,7623.5696729183865
76,Familiar...3,11066.861905160504
76,Per Capita,4353.494337892905
76,Familiar...5,8046.560403221799
77,Familiar...3,7978.485793144226
77,Per Capita,3997.979151289005
77,Familiar...5,6843.126521721684
78,Familiar...3,6575.878601689181
78,Per Capita,3009.4081009576016
78,Familiar...5,6360.541877550074
79,Familiar...3,7794.148637001907
79,Per Capita,3725.7345156944725
79,Familiar...5,6500
80,Familiar...3,6124.380935199475
80,Per Capita,2859.2465022035385
80,Familiar...5,4689.119012599244
81,Familiar...3,12635.211089510496
81,Per Capita,4833.341234298911
81,Familiar...5,10540.708078898337
82,Familiar...3,4707.517769660662
82,Per Capita,2063.667052418022
82,Familiar...5,4209.082628655712
83,Familiar...3,7623.81809309254
83,Per Capita,3320.938189070923
83,Familiar...5,6142.579211762394
84,Familiar...3,10107.677585009293
84,Per Capita,4330.728405073849
84,Familiar...5,8493.020605911383
85,Familiar...3,10583.944086973172
85,Per Capita,3863.0445986521604
85,Familiar...5,8493.020605911383
86,Familiar...3,7649.282796864412
86,Per Capita,3208.2265931493525
86,Familiar...5,6000
87,Familiar...3,7989.221351367258
87,Per Capita,3367.354245166276
87,Familiar...5,6949
88,Familiar...3,7654.49519423152
88,Per Capita,3200.6235985334015
88,Familiar...5,6843.126521721684
89,Familiar...3,7302.796377481012
89,Per Capita,2873.000646707878
89,Familiar...5,5223.90246383501
90,Familiar...3,10008.589592327156
90,Per Capita,4286.4773696975135
90,Familiar...5,8000
91,Familiar...3,3552.200887575162
91,Per Capita,1023.3361679076763
91,Familiar...5,2200
92,Familiar...3,5052.732299863115
92,Per Capita,1668.6489102382898
92,Familiar...5,4689.119012599244
93,Familiar...3,6435.312643860673
93,Per Capita,2738.8559868869547
93,Familiar...5,4908
94,Familiar...3,6745.865162855915
94,Per Capita,2804.441077594955
94,Familiar...5,5223.90246383501
95,Familiar...3,7423.335466886362
95,Per Capita,2918.127604318263
95,Familiar...5,5819.67676195421
96,Familiar...3,11821.508223070941
96,Per Capita,3885.311947592992
96,Familiar...5,8493.020605911383
97,Familiar...3,8787.797513208716
97,Per Capita,3315.1315720199404
97,Familiar...5,7222.81467427629
98,Familiar...3,4433.039908189313
98,Per Capita,1645.2148742584961
98,Familiar...5,3000
99,Familiar...3,4814.906365948788
99,Per Capita,1882.2199296043618
99,Familiar...5,3789.7886503616687
100,Familiar...3,6872.768271973102
100,Per Capita,2625.671151626558
100,Familiar...5,4689.119012599244
101,Familiar...3,7487.807959403289
101,Per Capita,2861.796618109396
101,Familiar...5,7000
102,Familiar...3,7346.033773806069
102,Per Capita,2791.841495034194
102,Familiar...5,5819.67676195421
103,Familiar...3,7521.082209823632
103,Per Capita,2550.0544361819934
103,Familiar...5,6400
104,Familiar...3,8899.896555775644
104,Per Capita,3482.348613437136
104,Familiar...5,6843.126521721684
105,Familiar...3,7874.831623800418
105,Per Capita,2900.908785583164
105,Familiar...5,6843.126521721684
106,Familiar...3,2048.224063423082
106,Per Capita,576.1771948547392
106,Familiar...5,2085.992416234128
107,Familiar...3,9214.239321964242
107,Per Capita,3522.6471277056207
107,Familiar...5,7623.5696729183865
108,Familiar...3,3586.1193360639727
108,Per Capita,1189.169838359413
108,Familiar...5,3213.1273686852314
109,Familiar...3,3288.423599278008
109,Per Capita,1078.309659985479
109,Familiar...5,3044.220031372028
110,Familiar...3,4141.126950128984
110,Per Capita,1490.940258417965
110,Familiar...5,4083.5198141868404
111,Familiar...3,4482.3544287937775
111,Per Capita,1565.1227520493846
111,Familiar...5,3300
112,Familiar...3,2799.8905962709814
112,Per Capita,880.7803863088482
112,Familiar...5,2000
113,Familiar...3,3945.5746245691976
113,Per Capita,1319.5473913585918
113,Familiar...5,3391.4064624103316
114,Familiar...3,0
114,Per Capita,0
114,Familiar...5,0
115,Familiar...3,2408.7856124220075
115,Per Capita,743.1838255004369
115,Familiar...5,2000
116,Familiar...3,2699.549278471039
116,Per Capita,854.6193360061591
116,Familiar...5,2452.8355459468366
117,Familiar...3,2536.8817993596963
117,Per Capita,851.5117020511766
117,Familiar...5,2436.3658005778766
118,Familiar...3,3036.1666140866378
118,Per Capita,977.2569215730183
118,Familiar...5,3000
119,Familiar...3,2380.5253155860782
119,Per Capita,729.4701201686283
119,Familiar...5,2037
120,Familiar...3,0
120,Per Capita,0
120,Familiar...5,0
121,Familiar...3,2669.165848974292
121,Per Capita,808.3221874597868
121,Familiar...5,2500
122,Familiar...3,1979.9598879193406
122,Per Capita,611.5113498197777
122,Familiar...5,1600
123,Familiar...3,2394.876842320487
123,Per Capita,767.7360666535695
123,Familiar...5,2323.8951481988993
124,Familiar...3,3111.0133871728876
124,Per Capita,1026.0214263081755
124,Familiar...5,2700
125,Familiar...3,2895.024282010609
125,Per Capita,967.2120542244662
125,Familiar...5,2600
