COD_ZONA,VIAGENS_ATRAIDAS_POR_TIPO,QTD
117,Coletivo,28596.28317771138
117,Individual,21675.277571932376
117,Modo Motorizado,50271.56074964376
117,Modo Não Motorizado,9888.97182595164
118,Coletivo,7751.041219634514
118,Individual,6172.842233759245
118,Modo Motorizado,13923.883453393759
118,Modo Não Motorizado,8131.408283229305
119,Coletivo,61420.212072640636
119,Individual,15747.941209409795
119,Modo Motorizado,77168.15328205044
119,Modo Não Motorizado,34710.844887719286
120,Coletivo,0
120,Individual,0
120,Modo Motorizado,0
120,Modo Não Motorizado,0
121,Coletivo,37598.2168848703
121,Individual,17943.30688481615
121,Modo Motorizado,55541.52376968645
121,Modo Não Motorizado,39073.404195044204
122,Coletivo,26923.121769750433
122,Individual,15898.646170926504
122,Modo Motorizado,42821.76794067694
122,Modo Não Motorizado,30119.267315064408
123,Coletivo,42097.20921828653
123,Individual,9864.30779513392
123,Modo Motorizado,51961.51701342045
123,Modo Não Motorizado,32042.013403879424
124,Coletivo,53185.411416934636
124,Individual,31945.04344011384
124,Modo Motorizado,85130.45485704848
124,Modo Não Motorizado,45103.31703957946
125,Coletivo,23371.143735045785
125,Individual,13383.050403083267
125,Modo Motorizado,36754.19413812905
125,Modo Não Motorizado,43389.46601313621
126,Coletivo,25338.438653106135
126,Individual,23492.555248171706
126,Modo Motorizado,48830.99390127784
126,Modo Não Motorizado,23042.07372831141
127,Coletivo,38979.51090773379
127,Individual,50150.94375535066
127,Modo Motorizado,89130.45466308444
127,Modo Não Motorizado,39014.35084900178
128,Coletivo,16232.405750859854
128,Individual,16598.46435786587
128,Modo Motorizado,32830.87010872572
128,Modo Não Motorizado,2926.310959964321
129,Coletivo,30254.657594447035
129,Individual,22169.899936634585
129,Modo Motorizado,52424.55753108162
129,Modo Não Motorizado,10293.828315206321
130,Coletivo,4028.7765016800527
130,Individual,4080.2497672598465
130,Modo Motorizado,8109.026268939899
130,Modo Não Motorizado,1552.7742565416274
131,Coletivo,17764.72767491862
131,Individual,7713.3028441730075
131,Modo Motorizado,25478.030519091626
131,Modo Não Motorizado,6582.3961616108245
132,Coletivo,7025.004493304087
132,Individual,7245.190371901263
132,Modo Motorizado,14270.19486520535
132,Modo Não Motorizado,603.7345105870095
133,Coletivo,35666.92128923398
133,Individual,37218.407811282814
133,Modo Motorizado,72885.3291005168
133,Modo Não Motorizado,19231.454930645672
134,Coletivo,23470.470084014847
134,Individual,37046.25627382575
134,Modo Motorizado,60516.7263578406
134,Modo Não Motorizado,12176.366243943441
135,Coletivo,30318.026772498135
135,Individual,30279.620077091848
135,Modo Motorizado,60597.64684958998
135,Modo Não Motorizado,23067.34662592753
136,Coletivo,28299.61502400968
136,Individual,33033.4500201867
136,Modo Motorizado,61333.06504419638
136,Modo Não Motorizado,28938.35976791058
137,Coletivo,37989.34574166392
137,Individual,39958.22646316068
137,Modo Motorizado,77947.5722048246
137,Modo Não Motorizado,28930.90730665313
138,Coletivo,8709.277786834933
138,Individual,14126.099262457179
138,Modo Motorizado,22835.37704929211
138,Modo Não Motorizado,11721.3207335403
139,Coletivo,24909.738671485782
139,Individual,18282.157330418882
139,Modo Motorizado,43191.896001904664
139,Modo Não Motorizado,19831.511180793466
140,Coletivo,23756.482212829953
140,Individual,17976.581496408075
140,Modo Motorizado,41733.06370923803
140,Modo Não Motorizado,48093.047549716226
141,Coletivo,58368.65082375816
141,Individual,41917.065750293106
141,Modo Motorizado,100285.71657405127
141,Modo Não Motorizado,60419.66471532546
142,Coletivo,32988.223490006705
142,Individual,24782.039437793643
142,Modo Motorizado,57770.262927800344
142,Modo Não Motorizado,40428.75560012784
143,Coletivo,0
143,Individual,0
143,Modo Motorizado,0
143,Modo Não Motorizado,0
144,Coletivo,67610.78094314238
144,Individual,62428.63016128681
144,Modo Motorizado,130039.4111044292
144,Modo Não Motorizado,33647.09935307015
145,Coletivo,4810.196307133463
145,Individual,11295.781493087852
145,Modo Motorizado,16105.977800221315
145,Modo Não Motorizado,4166.301917665346
146,Coletivo,0
146,Individual,0
146,Modo Motorizado,0
146,Modo Não Motorizado,0
147,Coletivo,25107.18952517777
147,Individual,18492.858198373102
147,Modo Motorizado,43600.04772355087
147,Modo Não Motorizado,28774.401703995114
148,Coletivo,12530.260249331943
148,Individual,15538.516533234488
148,Modo Motorizado,28068.77678256643
148,Modo Não Motorizado,20795.110756706275
149,Coletivo,0
149,Individual,77.55974274935924
149,Modo Motorizado,77.55974274935924
149,Modo Não Motorizado,350.1069641131846
150,Coletivo,27140.093641331372
150,Individual,12738.177984140257
150,Modo Motorizado,39878.27162547163
150,Modo Não Motorizado,23666.777610806952
151,Coletivo,51051.06524618356
151,Individual,52145.241705005355
151,Modo Motorizado,103196.30695118892
151,Modo Não Motorizado,75981.22284632473
152,Coletivo,21830.939733542087
152,Individual,30467.731128724095
152,Modo Motorizado,52298.67086226618
152,Modo Não Motorizado,27157.589721039454
153,Coletivo,18860.16631257028
153,Individual,17243.323952692797
153,Modo Motorizado,36103.49026526308
153,Modo Não Motorizado,5322.571527097816
154,Coletivo,35336.457021110735
154,Individual,44455.07102150928
154,Modo Motorizado,79791.52804262002
154,Modo Não Motorizado,20508.174220908033
155,Coletivo,14599.152701582861
155,Individual,9398.855752494006
155,Modo Motorizado,23998.008454076866
155,Modo Não Motorizado,18605.695334391286
156,Coletivo,33253.942707783586
156,Individual,30168.42764046398
156,Modo Motorizado,63422.37034824757
156,Modo Não Motorizado,24851.104665690676
157,Coletivo,10999.212528919172
157,Individual,14049.849154692734
157,Modo Motorizado,25049.061683611908
157,Modo Não Motorizado,9544.699730091179
158,Coletivo,31804.176122620305
158,Individual,19047.248404714617
158,Modo Motorizado,50851.42452733492
158,Modo Não Motorizado,25018.05056384431
159,Coletivo,28730.287438967633
159,Individual,32185.619767969914
159,Modo Motorizado,60915.90720693755
159,Modo Não Motorizado,39478.31123820448
160,Coletivo,22422.634672312768
160,Individual,15401.118320429676
160,Modo Motorizado,37823.75299274245
160,Modo Não Motorizado,15674.28500239137
161,Coletivo,27798.027476055315
161,Individual,43331.49838299414
161,Modo Motorizado,71129.52585904946
161,Modo Não Motorizado,50833.60147181515
162,Coletivo,27007.10481085942
162,Individual,21908.572796821518
162,Modo Motorizado,48915.67760768093
162,Modo Não Motorizado,19851.694590747305
163,Coletivo,26159.579871634425
163,Individual,48209.155314614334
163,Modo Motorizado,74368.73518624876
163,Modo Não Motorizado,23153.06906199205
164,Coletivo,9126.233449469173
164,Individual,9210.909640495873
164,Modo Motorizado,18337.143089965044
164,Modo Não Motorizado,7398.074983718177
165,Coletivo,18093.095639310395
165,Individual,14719.942348094184
165,Modo Motorizado,32813.037987404576
165,Modo Não Motorizado,4748.580162869464
166,Coletivo,51203.031187370216
166,Individual,45728.729429003295
166,Modo Motorizado,96931.7606163735
166,Modo Não Motorizado,22395.74678438176
167,Coletivo,56550.89264893969
167,Individual,38836.80186908008
167,Modo Motorizado,95387.69451801977
167,Modo Não Motorizado,22746.63883076331
168,Coletivo,32925.01766930666
168,Individual,23116.992274557655
168,Modo Motorizado,56042.009943864316
168,Modo Não Motorizado,18037.089360198082
169,Coletivo,50739.777433319956
169,Individual,23523.174068745637
169,Modo Motorizado,74262.9515020656
169,Modo Não Motorizado,13013.332043166285
170,Coletivo,48028.85372271296
170,Individual,25145.819420806863
170,Modo Motorizado,73174.67314351982
170,Modo Não Motorizado,24130.035363724168
171,Coletivo,38241.93959478595
171,Individual,21902.51726238471
171,Modo Motorizado,60144.45685717066
171,Modo Não Motorizado,21017.626106318516
172,Coletivo,18932.732277418072
172,Individual,20596.056241500482
172,Modo Motorizado,39528.788518918554
172,Modo Não Motorizado,12447.339402585636
173,Coletivo,15460.53543942155
173,Individual,10822.56957232558
173,Modo Motorizado,26283.10501174713
173,Modo Não Motorizado,18833.592973980165
174,Coletivo,31912.93428089444
174,Individual,14010.581621170393
174,Modo Motorizado,45923.51590206483
174,Modo Não Motorizado,40115.49069997823
175,Coletivo,18561.226274330296
175,Individual,16847.112053776327
175,Modo Motorizado,35408.33832810662
175,Modo Não Motorizado,24741.6184316602
176,Coletivo,18701.754275998283
176,Individual,20249.20802158144
176,Modo Motorizado,38950.962297579725
176,Modo Não Motorizado,19552.012734551838
177,Coletivo,4246.693466209103
177,Individual,4317.880005965183
177,Modo Motorizado,8564.573472174285
177,Modo Não Motorizado,5367.364473036417
178,Coletivo,2065.8889495925328
178,Individual,616.3956663186941
178,Modo Motorizado,2682.284615911227
178,Modo Não Motorizado,1266.2676952357824
179,Coletivo,0
179,Individual,0
179,Modo Motorizado,0
179,Modo Não Motorizado,0
180,Coletivo,37786.50621281849
180,Individual,24836.328985958346
180,Modo Motorizado,62622.83519877683
180,Modo Não Motorizado,57140.64496965159
181,Coletivo,28091.733620276285
181,Individual,27844.622042674946
181,Modo Motorizado,55936.35566295123
