COD_ZONA,FAIXA_RENDA,QTD
12,1.908 a 3.816,8595.108818315543
12,3.816 a 7.632,2455.8329788926994
12,7.632 a 11.448,1366.1255305615998
12,mais de 11.448,418.29416470588245
13,até 1.908,312.88172223064964
13,1.908 a 3.816,912.8136419994809
13,3.816 a 7.632,209.30468019844182
13,7.632 a 11.448,0
13,mais de 11.448,0
14,até 1.908,327.7096929531505
14,1.908 a 3.816,2430.5029573579154
14,3.816 a 7.632,578.788336174573
14,7.632 a 11.448,0
14,mais de 11.448,0
15,até 1.908,2377.467009253289
15,1.908 a 3.816,4384.025985985898
15,3.816 a 7.632,1381.5051130851073
15,7.632 a 11.448,284.00399776595765
15,mais de 11.448,0
16,até 1.908,219.80688052631575
16,1.908 a 3.816,9696.534728313829
16,3.816 a 7.632,2200.6564387381054
16,7.632 a 11.448,0
16,mais de 11.448,0
17,até 1.908,1139.2573960486063
17,1.908 a 3.816,3689.5099722890022
17,3.816 a 7.632,1963.145456199019
17,7.632 a 11.448,188.08749603218422
17,mais de 11.448,0
18,até 1.908,1846.4800678154563
18,1.908 a 3.816,7708.428501028647
18,3.816 a 7.632,5918.957078789469
18,7.632 a 11.448,1865.7454858101255
18,mais de 11.448,1900.3928822616015
19,até 1.908,1321.3764181226638
19,1.908 a 3.816,6051.601582649284
19,3.816 a 7.632,9722.87124964253
19,7.632 a 11.448,2589.40089818692
19,mais de 11.448,1046.749988308412
20,até 1.908,1932.362144552135
20,1.908 a 3.816,5143.995798900882
20,3.816 a 7.632,7154.465614223559
20,7.632 a 11.448,6751.261122319575
20,mais de 11.448,2080.9201226297164
21,até 1.908,1706.6063698184935
21,1.908 a 3.816,2294.239847499187
21,3.816 a 7.632,7529.66469841504
21,7.632 a 11.448,5676.81973495385
21,mais de 11.448,1483.6678693150707
22,até 1.908,635.8145113714286
22,1.908 a 3.816,6009.884066214286
22,3.816 a 7.632,4824.176511784623
22,7.632 a 11.448,1092.749128375
22,mais de 11.448,1060.3772128000003
23,até 1.908,62.83256612658223
23,1.908 a 3.816,2953.6981486919844
23,3.816 a 7.632,1877.6971980421927
23,7.632 a 11.448,437.77182254852283
23,mais de 11.448,0
24,até 1.908,1536.8307349595746
24,1.908 a 3.816,5289.142860448944
24,3.816 a 7.632,3967.8762416297877
24,7.632 a 11.448,134.72596170000003
24,mais de 11.448,494.42810670000006
25,até 1.908,2725.617975825269
25,1.908 a 3.816,7999.161480109862
25,3.816 a 7.632,6607.374406460728
25,7.632 a 11.448,326.25843339130444
25,mais de 11.448,742.5896969565218
26,até 1.908,1452.3020377924
26,1.908 a 3.816,4521.070503861964
26,3.816 a 7.632,6562.949174708662
26,7.632 a 11.448,1309.7584851151453
26,mais de 11.448,434.9184087073172
27,até 1.908,173.24540394761874
27,1.908 a 3.816,2082.9212944441542
27,3.816 a 7.632,8750.62030925755
27,7.632 a 11.448,2743.053752978352
27,mais de 11.448,3786.1615353363595
28,até 1.908,238.41859359705887
28,1.908 a 3.816,1380.547701095589
28,3.816 a 7.632,6246.23963011618
28,7.632 a 11.448,698.2909884000009
28,mais de 11.448,504.50519550000047
29,até 1.908,854.2444187297294
29,1.908 a 3.816,2447.8315841314065
29,3.816 a 7.632,6738.995008649581
29,7.632 a 11.448,1997.821452000932
29,mais de 11.448,1212.1061377539613
30,até 1.908,196.61816113815718
30,1.908 a 3.816,1704.0584135723661
30,3.816 a 7.632,7930.565899914435
30,7.632 a 11.448,3896.8272476940683
30,mais de 11.448,5726.933065598659
31,até 1.908,619.1981096422384
31,1.908 a 3.816,8063.0806521277
31,3.816 a 7.632,9301.980758332711
31,7.632 a 11.448,1722.2246606159547
31,mais de 11.448,327.5106812523189
32,até 1.908,263.19839193653735
32,1.908 a 3.816,2836.403189524585
32,3.816 a 7.632,3346.6991694369176
32,7.632 a 11.448,1497.1017294699236
32,mais de 11.448,612.5969410601629
33,até 1.908,27.188003037036943
33,1.908 a 3.816,64.86555990740717
33,3.816 a 7.632,376.03696046296164
33,7.632 a 11.448,350.2301826481468
33,mais de 11.448,1020.6788512222179
34,até 1.908,61.55993743190682
34,1.908 a 3.816,574.9047575719864
34,3.816 a 7.632,1548.0287672217955
34,7.632 a 11.448,1992.1784148326917
34,mais de 11.448,3379.326035486389
35,até 1.908,11124.458055635587
35,1.908 a 3.816,15098.881477799
35,3.816 a 7.632,9122.37065208014
35,7.632 a 11.448,4578.663890445486
35,mais de 11.448,107.62225933333333
36,até 1.908,1306.4620853295594
36,1.908 a 3.816,13184.590389771456
36,3.816 a 7.632,18937.87353277469
36,7.632 a 11.448,6697.738631606508
36,mais de 11.448,2967.3493202976138
37,até 1.908,228.6749092499999
37,1.908 a 3.816,1210.9172976853354
37,3.816 a 7.632,2096.446254541665
37,7.632 a 11.448,881.1537865662875
37,mais de 11.448,189.80766688311672
38,até 1.908,369.6631740428569
38,1.908 a 3.816,1149.881810657142
38,3.816 a 7.632,1413.487144714285
38,7.632 a 11.448,723.2652436714282
38,mais de 11.448,129.70257282857136
39,até 1.908,788.9882941425511
39,1.908 a 3.816,4128.273654721005
39,3.816 a 7.632,2642.382183123451
39,7.632 a 11.448,949.8921481193267
39,mais de 11.448,847.4610454537806
40,até 1.908,1007.2775107961028
