COD_ZONA,TEMPO_MEDIO_VIAGEM,QTD
109,Coletivo,55.93003793236637
109,Individual,30.63337884289932
109,A pé,12.052170459861086
109,Bicicleta,10
110,Coletivo,61.80020820469834
110,Individual,24.056490858026176
110,A pé,9.926023229748944
110,Bicicleta,0
111,Coletivo,48.68870001787522
111,Individual,22.40514978696543
111,A pé,9.402107385539136
111,Bicicleta,11.158134567253573
112,Coletivo,57.487238965729645
112,Individual,28.487759375439907
112,A pé,12.369215088528803
112,Bicicleta,0
113,Coletivo,62.41300122064735
113,Individual,22.971404661388252
113,A pé,12.379755397992108
113,Bicicleta,0
114,Coletivo,0
114,Individual,0
114,A pé,30
114,Bicicleta,0
115,Coletivo,57.441724877811396
115,Individual,26.84224976073931
115,A pé,15.796393727589114
115,Bicicleta,0
116,Coletivo,55.441228929475585
116,Individual,25.89092249482032
116,A pé,11.664213181173176
116,Bicicleta,0
117,Coletivo,56.901090999023424
117,Individual,34.45658753199959
117,A pé,11.478088476576264
117,Bicicleta,0
118,Coletivo,77.48671189744906
118,Individual,29.215012782460533
118,A pé,12.421579247990477
118,Bicicleta,0
119,Coletivo,55.58681695619412
119,Individual,26.90983332783322
119,A pé,14.811893393320496
119,Bicicleta,0
120,Coletivo,0
120,Individual,0
120,A pé,0
120,Bicicleta,0
121,Coletivo,55.92479979372881
121,Individual,23.747477981110784
121,A pé,15.108493045826473
121,Bicicleta,0
122,Coletivo,55.00072647336668
122,Individual,29.488379214170877
122,A pé,13.20676090302333
122,Bicicleta,30
123,Coletivo,51.444705818329645
123,Individual,25.848177899525435
123,A pé,9.948987785298899
123,Bicicleta,0
124,Coletivo,53.63410464807683
124,Individual,22.835508270489957
124,A pé,14.734792638697487
124,Bicicleta,0
125,Coletivo,48.187202375252774
125,Individual,32.16765655411689
125,A pé,11.05631285612015
125,Bicicleta,20.876926844996152
126,Coletivo,53.81736676707811
126,Individual,26.016834153566947
126,A pé,11.972543502206792
126,Bicicleta,30
127,Coletivo,50.51049837518012
127,Individual,21.011611528263945
127,A pé,13.680530663846147
127,Bicicleta,27.253995155723587
128,Coletivo,70.55586090686663
128,Individual,26.76623424748252
128,A pé,10.116686959649016
128,Bicicleta,50
129,Coletivo,57.42970076012047
129,Individual,28.813763154856822
129,A pé,11.933821388226614
129,Bicicleta,0
130,Coletivo,68.63117222325471
130,Individual,37.381452846981006
130,A pé,17.36249664561322
130,Bicicleta,8.764896614704487
131,Coletivo,70.72327900039814
131,Individual,36.9787002653021
131,A pé,9.021887877273938
131,Bicicleta,74.60037028907998
132,Coletivo,64.50289784030599
132,Individual,37.55003230596841
132,A pé,15.663300306108098
132,Bicicleta,27.007209330223613
133,Coletivo,52.3154165627083
133,Individual,18.546407512731918
133,A pé,10.58006731372952
133,Bicicleta,25
134,Coletivo,55.83074632511904
134,Individual,18.910053447885552
134,A pé,10.775477201796143
134,Bicicleta,0
135,Coletivo,47.442815927452635
135,Individual,21.515165576295395
135,A pé,12.273902582980703
135,Bicicleta,20
136,Coletivo,58.75976911017823
136,Individual,24.208602155343428
136,A pé,10.242261126092634
136,Bicicleta,50
137,Coletivo,51.68722618255525
137,Individual,19.88345195946081
137,A pé,14.29750753702762
137,Bicicleta,10
138,Coletivo,57.771422890438814
138,Individual,29.12497259907577
138,A pé,10.956027101588168
138,Bicicleta,15
139,Coletivo,54.882737966504905
139,Individual,22.959099934996004
139,A pé,9.338236632861628
139,Bicicleta,54.411995981725156
140,Coletivo,63.10730660250969
140,Individual,28.031051892996125
140,A pé,10.434729280260555
140,Bicicleta,46.16848536842035
141,Coletivo,55.38210951492676
141,Individual,21.319068861900018
141,A pé,12.416645382997471
141,Bicicleta,35.68574037502378
142,Coletivo,49.88781377629305
142,Individual,22.96661352482056
