COD_ZONA,MODO_PRINCIPAL,QTD
20,Transporte escolar,888.3718109034924
20,Dirigindo automóvel,9708.384753239838
20,Passageiro de automóvel,3225.877522018045
20,Táxi convencional,111.68852669621468
20,Táxi não convencional,948.0604625424618
20,Dirigindo moto,1209.0727700262087
20,Passageiro de moto,264.80519719868516
20,Bicicleta,211.56009695433778
20,A pé,14167.158166982752
20,Outros,0
21,Metrô,5045.55485531633
21,Trem,0
21,Ônibus,7800.975346097843
21,Transporte fretado,0
21,Transporte escolar,471.05113641110995
21,Dirigindo automóvel,10511.894491901217
21,Passageiro de automóvel,6369.893872114231
21,Táxi convencional,531.054708973235
21,Táxi não convencional,2340.239198246528
21,Dirigindo moto,1494.7707864284496
21,Passageiro de moto,0
21,Bicicleta,159.9316448339065
21,A pé,9599.246053984813
21,Outros,106.29623767908647
22,Metrô,11279.316603802623
22,Trem,0
22,Ônibus,3588.943368677245
22,Transporte fretado,0
22,Transporte escolar,187.46824204793947
22,Dirigindo automóvel,5460.004228640335
22,Passageiro de automóvel,2889.511414453188
22,Táxi convencional,0
22,Táxi não convencional,169.66237977883944
22,Dirigindo moto,1153.3825632913804
22,Passageiro de moto,0
22,Bicicleta,200.43181453738222
22,A pé,11814.498570928516
22,Outros,299.9487824814517
23,Metrô,38573.4824875646
23,Trem,0
23,Ônibus,6966.364947316563
23,Transporte fretado,155.31982012652142
23,Transporte escolar,147.70976964457557
23,Dirigindo automóvel,9448.84544399213
23,Passageiro de automóvel,3432.105574119527
23,Táxi convencional,779.2048452580102
23,Táxi não convencional,273.0331121894067
23,Dirigindo moto,2131.1022708697365
23,Passageiro de moto,0
23,Bicicleta,234.1577192090483
23,A pé,11874.783203743811
23,Outros,0
24,Metrô,46826.683329645224
24,Trem,0
24,Ônibus,9401.388035439526
24,Transporte fretado,0
24,Transporte escolar,655.5797072197886
24,Dirigindo automóvel,8939.740140261176
24,Passageiro de automóvel,1829.0108507454404
24,Táxi convencional,331.9666149324044
24,Táxi não convencional,503.7105424084797
24,Dirigindo moto,2188.4688682507235
24,Passageiro de moto,250.19943998348845
24,Bicicleta,338.6163684884429
24,A pé,18432.490950561245
24,Outros,0
25,Metrô,5430.034632299734
25,Trem,0
25,Ônibus,8739.5543897708
25,Transporte fretado,13.623997683873013
25,Transporte escolar,0
25,Dirigindo automóvel,3718.795426064772
25,Passageiro de automóvel,1647.804661172775
25,Táxi convencional,549.5601085898267
25,Táxi não convencional,1092.621983898046
25,Dirigindo moto,1007.6858190920226
25,Passageiro de moto,0
25,Bicicleta,570.3032280897263
25,A pé,17860.20815246312
25,Outros,0
26,Metrô,11992.684283119675
26,Trem,0
26,Ônibus,7134.545463693345
26,Transporte fretado,0
26,Transporte escolar,1156.0938825177104
26,Dirigindo automóvel,10015.005379748463
26,Passageiro de automóvel,6183.84947944397
26,Táxi convencional,370.61979488487003
26,Táxi não convencional,287.3506997033919
26,Dirigindo moto,90.01394039348737
26,Passageiro de moto,0
26,Bicicleta,268.68354955022414
26,A pé,17008.712243600203
26,Outros,0
27,Metrô,37992.621898631114
27,Trem,821.3998074506968
27,Ônibus,17412.056796432018
27,Transporte fretado,0
27,Transporte escolar,685.028791838522
27,Dirigindo automóvel,18148.48942221464
27,Passageiro de automóvel,7415.0497977825535
27,Táxi convencional,1156.275096661901
27,Táxi não convencional,2707.6576640815556
27,Dirigindo moto,1071.6761210823583
27,Passageiro de moto,30.72373579511737
27,Bicicleta,598.9569332185542
27,A pé,29757.461194628526
27,Outros,0
28,Metrô,22754.704896272466
28,Trem,2196.6866551975245
28,Ônibus,11723.648349326682
28,Transporte fretado,0
28,Transporte escolar,731.0322416633287
28,Dirigindo automóvel,11653.025827726178
28,Passageiro de automóvel,3276.136347189318
28,Táxi convencional,1614.6115462191326
28,Táxi não convencional,4391.736087748936
28,Dirigindo moto,744.6503738916524
28,Passageiro de moto,0
28,Bicicleta,302.2100368297478
28,A pé,16782.9582327286
28,Outros,0
29,Metrô,30061.372991422148
29,Trem,0
29,Ônibus,19022.312331723962
29,Transporte fretado,0
29,Transporte escolar,234.9070896115212
29,Dirigindo automóvel,13232.697304788098
29,Passageiro de automóvel,2561.632025180966
29,Táxi convencional,1093.2163732101874
29,Táxi não convencional,3454.6696074818556
29,Dirigindo moto,2504.3923762784034
29,Passageiro de moto,0
29,Bicicleta,359.29552998095755
29,A pé,22005.241244613328
29,Outros,408.10165868590747
30,Metrô,9708.131333036543
30,Trem,307.65466248275885
30,Ônibus,7668.15207049411
30,Transporte fretado,2716.145284469916
30,Transporte escolar,297.6108196419257
30,Dirigindo automóvel,12868.241567554913
30,Passageiro de automóvel,3754.216127576958
30,Táxi convencional,1041.388267273062
30,Táxi não convencional,2046.1652787711987
