COD_ZONA,VIAGENS_ATRAIDAS_MODO_PRINCIPAL,QTD
24,Passageiro de automóvel,2191.53404141362
24,Táxi convencional,374.554249277952
24,Táxi não convencional,420.500152186288
24,Dirigindo moto,2143.25052821013
24,Passageiro de moto,515.004637182174
24,Bicicleta,338.616368488443
24,A pé,19666.6624574393
24,Outros,36.8489648500248
25,Metrô,5270.35451845887
25,Trem,0
25,Ônibus,8116.98877731952
25,Transporte fretado,13.623997683873
25,Transporte escolar,97.2340330297525
25,Dirigindo automóvel,3718.79542606477
25,Passageiro de automóvel,1555.31342798664
25,Táxi convencional,417.686332360555
25,Táxi não convencional,1114.26116198937
25,Dirigindo moto,1007.68581909202
25,Passageiro de moto,0
25,Bicicleta,570.303228089726
25,A pé,18537.5562162766
25,Outros,409.494516296175
26,Metrô,11854.8822660579
26,Trem,0
26,Ônibus,7038.44538952947
26,Transporte fretado,0
26,Transporte escolar,1156.09388251771
26,Dirigindo automóvel,10334.8293717596
26,Passageiro de automóvel,6305.29237131161
26,Táxi convencional,370.61979488487
26,Táxi não convencional,393.16203656584
26,Dirigindo moto,90.0139403934874
26,Passageiro de moto,0
26,Bicicleta,268.683549550224
26,A pé,16868.491880061
26,Outros,0
27,Metrô,39192.9604541551
27,Trem,821.399807450697
27,Ônibus,18358.1369718733
27,Transporte fretado,0
27,Transporte escolar,472.547814589813
27,Dirigindo automóvel,18228.2892954108
27,Passageiro de automóvel,7136.57609705961
27,Táxi convencional,2454.94006854965
27,Táxi não convencional,2911.27769082421
27,Dirigindo moto,1490.43689588779
27,Passageiro de moto,30.7237357951174
27,Bicicleta,598.956933218554
27,A pé,28618.3159362878
27,Outros,0
28,Metrô,25220.6681109215
28,Trem,1053.62655573655
28,Ônibus,12492.9434540134
28,Transporte fretado,0
28,Transporte escolar,731.032241663329
28,Dirigindo automóvel,11653.0258277262
28,Passageiro de automóvel,4325.79814511098
28,Táxi convencional,1910.8769836743
28,Táxi não convencional,1141.19878996546
28,Dirigindo moto,744.650373891652
28,Passageiro de moto,0
28,Bicicleta,247.122762793332
28,A pé,17250.9883847817
28,Outros,0
29,Metrô,30260.6843573918
29,Trem,936.612689094178
29,Ônibus,18890.1184546866
29,Transporte fretado,0
29,Transporte escolar,391.02779525481
29,Dirigindo automóvel,13159.5478775034
29,Passageiro de automóvel,1940.81236761537
29,Táxi convencional,812.02024435634
29,Táxi não convencional,3441.34643852528
29,Dirigindo moto,2504.3923762784
29,Passageiro de moto,0
29,Bicicleta,211.732188051535
29,A pé,22179.6747272665
29,Outros,60.1330577133923
30,Metrô,11640.9915918464
30,Trem,376.570379665313
30,Ônibus,5991.52809921875
30,Transporte fretado,2663.49101251525
30,Transporte escolar,402.794902758736
30,Dirigindo automóvel,12897.4391685833
30,Passageiro de automóvel,3883.75497661478
30,Táxi convencional,921.085194224232
30,Táxi não convencional,2021.44708532408
30,Dirigindo moto,1433.39940210274
30,Passageiro de moto,0
30,Bicicleta,1457.44673338638
30,A pé,19040.467399892
30,Outros,0
31,Metrô,36169.7221830298
31,Trem,394.597621827919
31,Ônibus,24275.5188637839
31,Transporte fretado,791.105287510386
31,Transporte escolar,1092.38733482864
31,Dirigindo automóvel,16292.0144458399
31,Passageiro de automóvel,5376.7018073471
31,Táxi convencional,1209.71290251187
31,Táxi não convencional,2833.6244254089
31,Dirigindo moto,1146.22935653825
31,Passageiro de moto,0
31,Bicicleta,264.059030586698
31,A pé,29171.1460076705
31,Outros,371.488017463365
32,Metrô,41985.5773755355
32,Trem,1638.36007552653
32,Ônibus,17479.8493660186
32,Transporte fretado,0
32,Transporte escolar,571.705653060455
32,Dirigindo automóvel,12353.0053659289
32,Passageiro de automóvel,3168.90566636484
32,Táxi convencional,389.106605661459
32,Táxi não convencional,632.768165857026
32,Dirigindo moto,513.544341334233
32,Passageiro de moto,0
32,Bicicleta,286.97482010432
32,A pé,33531.8294310337
32,Outros,0
33,Metrô,1525.74271135676
33,Trem,324.17690642734
33,Ônibus,856.739502970144
33,Transporte fretado,0
33,Transporte escolar,134.066822413413
33,Dirigindo automóvel,1078.3472270791
33,Passageiro de automóvel,223.290172096246
33,Táxi convencional,19.9960212451185
33,Táxi não convencional,505.763909046534
33,Dirigindo moto,673.239053478539
33,Passageiro de moto,0
33,Bicicleta,53.3739621217758
33,A pé,1531.8024434637
33,Outros,0
34,Metrô,5161.52680072012
34,Trem,384.377325208363
34,Ônibus,2434.22494816645
34,Transporte fretado,52.6542719546613
34,Transporte escolar,195.356345764743
34,Dirigindo automóvel,10332.7180618387
34,Passageiro de automóvel,6214.98795027494
34,Táxi convencional,614.177826905332
34,Táxi não convencional,784.73782401348
34,Dirigindo moto,50.0630320522165
34,Passageiro de moto,0
34,Bicicleta,155.099974595017
34,A pé,6502.98678830509
34,Outros,0
35,Metrô,25435.7075255228
35,Trem,2271.34869187187
35,Ônibus,18622.1828869544
35,Transporte fretado,0
35,Transporte escolar,651.557604827361
35,Dirigindo automóvel,14475.5490197955
35,Passageiro de automóvel,4413.90893228037
35,Táxi convencional,983.220880342337
35,Táxi não convencional,746.652648535302
35,Dirigindo moto,69.2666199295337
35,Passageiro de moto,0
35,Bicicleta,394.004774285156
35,A pé,43341.5786789307
35,Outros,852.475608037339
36,Metrô,28459.38047359
36,Trem,1987.51097380367
36,Ônibus,15813.7160308211
