COD_ZONA,TIPO_ESCOLA,QTD
270,Pública,473.29108480907564
270,Particular,1281.7001663811284
271,Pública,138.90115885714312
271,Particular,0
272,Pública,1741.6490823980657
272,Particular,1812.8142056023626
273,Pública,4912.072898008467
273,Particular,2808.034627359869
274,Pública,5026.174465209749
274,Particular,6540.457615440422
275,Pública,5489.9180913647115
275,Particular,7181.306293683317
276,Pública,10047.71728817317
276,Particular,2287.3007698086867
277,Pública,17324.377035882062
277,Particular,1372.6182868222636
278,Pública,18600.038829469424
278,Particular,3932.0900448456064
279,Pública,8404.22426375639
279,Particular,221.5031413526014
280,Pública,1929.058402769961
280,Particular,9315.541766474324
281,Pública,2330.0565383686053
281,Particular,7193.97018194304
282,Pública,4228.111970392375
282,Particular,5813.335123374424
283,Pública,673.2968253810271
283,Particular,0
284,Pública,12431.320843103353
284,Particular,1579.3104720413157
285,Pública,19408.80987841604
285,Particular,0
286,Pública,3928.1250160338195
286,Particular,1029.1690018143988
287,Pública,6393.154618738862
287,Particular,1263.7428337103393
288,Pública,4936.153294382494
288,Particular,8093.755887675452
289,Pública,10329.876679326602
289,Particular,1985.3693471857378
290,Pública,7586.215092987318
290,Particular,1373.2537166380455
291,Pública,15856.060250976192
291,Particular,5071.751556038598
292,Pública,12130.54321318655
292,Particular,1769.7731372214291
293,Pública,19097.888957563333
293,Particular,1108.07609994078
294,Pública,27665.95803079791
294,Particular,0
295,Pública,25704.24410549653
295,Particular,1267.2614163997334
296,Pública,2107.427058344959
296,Particular,0
297,Pública,357.263886543739
297,Particular,0
298,Pública,38130.32885422026
298,Particular,4490.568965209278
299,Pública,882.1652586070061
299,Particular,0
300,Pública,4498.028294824939
300,Particular,31369.01920924485
301,Pública,2120.7809631238088
301,Particular,2527.6279704664744
302,Pública,5248.364028085643
302,Particular,13985.949552227583
303,Pública,3917.0964741650373
303,Particular,47024.53410127529
304,Pública,17650.544704548844
304,Particular,5680.077082970738
305,Pública,24747.611041188917
305,Particular,5359.040636369909
306,Pública,12421.414228057294
306,Particular,70.91007647058821
307,Pública,16572.395711081102
307,Particular,3273.4478077861613
308,Pública,15764.365766037601
308,Particular,780.344635945736
309,Pública,11627.493209669368
309,Particular,153.66782698310587
310,Pública,4385.251097621304
310,Particular,0
311,Pública,21730.594943978147
311,Particular,2735.1298432156836
312,Pública,12486.630816155674
312,Particular,6569.551102028758
313,Pública,8213.741526527485
313,Particular,562.5106638773331
314,Pública,21936.159656469783
314,Particular,12640.877706122208
315,Pública,19371.4071797801
315,Particular,1903.8578443866054
316,Pública,2491.092409401939
316,Particular,3035.468005927244
317,Pública,0
317,Particular,1076.522101717137
318,Pública,1507.8785501264474
318,Particular,716.5421170967818
319,Pública,681.6950774293725
319,Particular,4668.992262413331
320,Pública,11584.38034607412
320,Particular,859.568834252978
321,Pública,5956.868934640696
321,Particular,2168.2696183073617
322,Pública,2050.9187928017373
322,Particular,6438.590093104991
323,Pública,8356.817550325011
323,Particular,3858.4307816211226
324,Pública,15000.624431057608
324,Particular,2782.3714675670044
325,Pública,5606.446920002732
325,Particular,11774.20469500562
326,Pública,7675.257523738681
326,Particular,1704.5547965155558
327,Pública,457.3577250776523
327,Particular,683.9382552112108
328,Pública,3092.8428382006127
328,Particular,3597.1692780566755
329,Pública,4731.292986634566
329,Particular,4056.889976994272
330,Pública,3545.902789737301
330,Particular,831.2007946430717
331,Pública,7127.253527445082
331,Particular,687.1377168571423
332,Pública,10609.15460726823
332,Particular,2405.5740825626444
333,Pública,3222.9535063091284
333,Particular,621.2927893401721
334,Pública,5683.74593190305
334,Particular,2564.776381421619
335,Pública,5371.233913417222
335,Particular,1647.1186169400753
336,Pública,3727.219126768748
336,Particular,435.4221368411655
337,Pública,6137.666747606442
337,Particular,233.70389292673443
