COD_ZONA,GENERO,QTD
91,Masculino,1106.3480747700833
91,Feminino,1243.6519313914785
92,Masculino,123.89848476923108
92,Feminino,200.10158065384684
93,Masculino,3895.4126618978084
93,Feminino,5136.585340712541
94,Masculino,1693.3029348485559
94,Feminino,2299.698116164492
95,Masculino,8866.630064272227
95,Feminino,8790.367319738893
96,Masculino,3733.777157433335
96,Feminino,3477.220277672224
97,Masculino,7430.8984413808275
97,Feminino,9179.102706843587
98,Masculino,913.8496570592589
98,Feminino,1538.1500054592577
99,Masculino,3798.6232882892637
99,Feminino,4321.375707243778
100,Masculino,8740.136632927128
100,Feminino,10613.866845950548
101,Masculino,11499.72881514285
101,Feminino,10358.27021141963
102,Masculino,5824.673519099768
102,Feminino,6818.329397178651
103,Masculino,1304.0394295714273
103,Feminino,1317.9603166551717
104,Masculino,3533.82128427981
104,Feminino,3530.1797135651536
105,Masculino,6631.348996123442
105,Feminino,7807.6535727126475
106,Masculino,1819.2671032020758
106,Feminino,2101.733523220197
107,Masculino,6757.107846547482
107,Feminino,8455.88793581701
108,Masculino,1778.908069725172
108,Feminino,1672.091469174823
109,Masculino,53146.51648637818
109,Feminino,66971.51039850217
110,Masculino,24894.868535033303
110,Feminino,25556.133440027817
111,Masculino,26894.178147814146
111,Feminino,24028.82069941452
112,Masculino,16052.325157247022
112,Feminino,19099.672656096507
113,Masculino,11507.98656567251
113,Feminino,12646.016561456214
114,Masculino,0
114,Feminino,0
115,Masculino,22889.55108116308
115,Feminino,26204.460951173198
116,Masculino,77410.007972438
116,Feminino,80497.00746414816
117,Masculino,33077.79394411764
117,Feminino,31017.190625898027
118,Masculino,7246.95893509798
118,Feminino,9505.04355448679
119,Masculino,44255.6807634773
119,Feminino,42990.311296460255
120,Masculino,0
120,Feminino,0
121,Masculino,40033.00539264105
121,Feminino,50239.97871110085
122,Masculino,23958.534028894293
122,Feminino,25994.45729305286
123,Masculino,35786.62204699998
123,Feminino,37279.38564849998
124,Masculino,32301.058931820895
124,Feminino,32564.9445309562
125,Masculino,23869.505549602207
125,Feminino,28730.50532904504
126,Masculino,15844.611587174286
126,Feminino,18234.392854106016
127,Masculino,29983.392102536207
127,Feminino,23957.62164127327
128,Masculino,663.3815400777125
128,Feminino,1130.6181545267139
129,Masculino,2359.716237809229
129,Feminino,2236.28433101041
130,Masculino,1564.641865861004
130,Feminino,1709.357998779923
131,Masculino,581.6153485
131,Feminino,645.3848969999998
132,Masculino,0
132,Feminino,0
133,Masculino,13860.72328812123
133,Feminino,22581.2744182121
134,Masculino,13245.002314104162
134,Feminino,15582.00179691667
135,Masculino,20444.579080064923
135,Feminino,17718.421893076913
136,Masculino,14260.795587590905
136,Feminino,18309.200146689393
137,Masculino,27375.96533054792
137,Feminino,26063.020895317666
138,Masculino,4062.135680380769
138,Feminino,3792.865897933332
139,Masculino,9858.288363559905
139,Feminino,14450.719388240308
140,Masculino,23631.47287883588
140,Feminino,23759.51756571281
141,Masculino,40652.97527446436
141,Feminino,38623.03723787877
142,Masculino,31751.413968636116
142,Feminino,34572.571090734986
143,Masculino,0
143,Feminino,0
144,Masculino,49918.80550604013
144,Feminino,54607.18180502908
145,Masculino,2181.1241211132065
145,Feminino,2298.8759566383637
146,Masculino,0
146,Feminino,0
147,Masculino,14296.950142723583
147,Feminino,19605.056273891492
148,Masculino,11080.437130925475
148,Feminino,11788.560388172215
149,Masculino,0
149,Feminino,0
150,Masculino,23149.051264749698
150,Feminino,28408.948481931344
151,Masculino,50133.56601414736
151,Feminino,59495.409057868324
152,Masculino,16077.40873383759
152,Feminino,19091.58976550528
153,Masculino,8555.52793858108
153,Feminino,7728.469658977478
154,Masculino,22391.580456546242
154,Feminino,23073.419221911518
155,Masculino,14248.798648873228
155,Feminino,17993.206204585338
156,Masculino,23513.961296725487
156,Feminino,20396.048292364703
157,Masculino,9361.948286899118
157,Feminino,10267.05597810074
158,Masculino,20706.668335886057
158,Feminino,39752.32489493794
159,Masculino,30296.416031154324
159,Feminino,33874.57903770862
160,Masculino,21731.01380248526
160,Feminino,28940.994047328844
161,Masculino,20109.991069750005
161,Feminino,27187.00616245983
162,Masculino,7530.248586699923
162,Feminino,8311.751375421745
163,Masculino,21244.310958600265
163,Feminino,26274.694374650022
164,Masculino,2907.8937304523806
164,Feminino,2941.104202571429
165,Masculino,1442.7010384301086
165,Feminino,1741.2982596682043
166,Masculino,15063.033269323056
166,Feminino,17812.961469207756
167,Masculino,9064.638426120238
167,Feminino,8375.359885749984
168,Masculino,10207.22468968832
168,Feminino,12294.773780857153
169,Masculino,10986.125964762341
169,Feminino,11473.872345938216
170,Masculino,15296.694755612732
170,Feminino,19396.304409047734
171,Masculino,20083.81252125975
171,Feminino,20582.191138703914
