COD_ZONA,ENDERECO_EMPREGOS,QTD
66,Empregos em Endereço Fixo(*),20642.421610883906
66,Empregos na Própria Residência,824.6788473898289
66,Empregos Sem Endereço Fixo(**),1060.25187684583
67,Empregos em Endereço Fixo(*),7546.467336574855
67,Empregos na Própria Residência,741.6290722049062
67,Empregos Sem Endereço Fixo(**),476.80094577551904
68,Empregos em Endereço Fixo(*),71637.69701244039
68,Empregos na Própria Residência,1201.6070578132721
68,Empregos Sem Endereço Fixo(**),726.2333753005223
69,Empregos em Endereço Fixo(*),22071.636229019874
69,Empregos na Própria Residência,393.84020570542646
69,Empregos Sem Endereço Fixo(**),997.1734837595891
70,Empregos em Endereço Fixo(*),19468.661767412872
70,Empregos na Própria Residência,497.9537557435894
70,Empregos Sem Endereço Fixo(**),357.3626290178567
71,Empregos em Endereço Fixo(*),17413.38864460301
71,Empregos na Própria Residência,2328.3494941578924
71,Empregos Sem Endereço Fixo(**),873.7375338869288
72,Empregos em Endereço Fixo(*),23349.476839644503
72,Empregos na Própria Residência,812.5364234168258
72,Empregos Sem Endereço Fixo(**),287.565346545397
73,Empregos em Endereço Fixo(*),96587.92799170925
73,Empregos na Própria Residência,472.81623629676085
73,Empregos Sem Endereço Fixo(**),671.8431761462907
74,Empregos em Endereço Fixo(*),34181.7231553337
74,Empregos na Própria Residência,1474.9469059455741
74,Empregos Sem Endereço Fixo(**),576.7713804935871
75,Empregos em Endereço Fixo(*),10669.586537250054
75,Empregos na Própria Residência,1313.0566658723362
75,Empregos Sem Endereço Fixo(**),581.5452915854275
76,Empregos em Endereço Fixo(*),22057.73660117449
76,Empregos na Própria Residência,1291.0120878842756
76,Empregos Sem Endereço Fixo(**),329.8818629139059
77,Empregos em Endereço Fixo(*),35842.68339196642
77,Empregos na Própria Residência,1976.30480880393
77,Empregos Sem Endereço Fixo(**),1131.2480208421023
78,Empregos em Endereço Fixo(*),21623.104698734696
78,Empregos na Própria Residência,2677.102193158838
78,Empregos Sem Endereço Fixo(**),631.8262890353185
79,Empregos em Endereço Fixo(*),44412.60049642249
79,Empregos na Própria Residência,649.2054642825283
79,Empregos Sem Endereço Fixo(**),1132.2948069847616
80,Empregos em Endereço Fixo(*),24513.947604529523
80,Empregos na Própria Residência,1843.4652284979961
80,Empregos Sem Endereço Fixo(**),1195.2045352593766
81,Empregos em Endereço Fixo(*),39128.61821451752
81,Empregos na Própria Residência,1287.4469259492234
81,Empregos Sem Endereço Fixo(**),1224.7880100746274
82,Empregos em Endereço Fixo(*),72892.31613167567
82,Empregos na Própria Residência,1282.9806485669192
82,Empregos Sem Endereço Fixo(**),898.5231377661477
83,Empregos em Endereço Fixo(*),23967.49553124839
83,Empregos na Própria Residência,3182.527639996227
83,Empregos Sem Endereço Fixo(**),650.5029378564058
84,Empregos em Endereço Fixo(*),10894.42384391944
84,Empregos na Própria Residência,1066.9690856755376
84,Empregos Sem Endereço Fixo(**),801.6186125305508
85,Empregos em Endereço Fixo(*),2625.1117456185475
85,Empregos na Própria Residência,529.5144154513895
85,Empregos Sem Endereço Fixo(**),104.5193323611112
86,Empregos em Endereço Fixo(*),3307.4217572144566
86,Empregos na Própria Residência,372.1516441104298
86,Empregos Sem Endereço Fixo(**),223.44673314110454
87,Empregos em Endereço Fixo(*),7985.4276156076885
87,Empregos na Própria Residência,1923.3849184229323
87,Empregos Sem Endereço Fixo(**),935.210570007459
88,Empregos em Endereço Fixo(*),18030.53819592633
88,Empregos na Própria Residência,4477.062382303357
88,Empregos Sem Endereço Fixo(**),1605.286128788716
89,Empregos em Endereço Fixo(*),2697.893764698348
89,Empregos na Própria Residência,1660.5262065238098
89,Empregos Sem Endereço Fixo(**),1083.9818663809524
90,Empregos em Endereço Fixo(*),7730.226029747691
90,Empregos na Própria Residência,284.2351339244635
90,Empregos Sem Endereço Fixo(**),1726.6268471989902
91,Empregos em Endereço Fixo(*),24063.923100607986
91,Empregos na Própria Residência,227.39095351159574
91,Empregos Sem Endereço Fixo(**),104.81364194271477
92,Empregos em Endereço Fixo(*),12074.412577392819
92,Empregos na Própria Residência,55.22967242307706
92,Empregos Sem Endereço Fixo(**),795.1478552278489
93,Empregos em Endereço Fixo(*),29423.09017067658
93,Empregos na Própria Residência,213.69580979032284
93,Empregos Sem Endereço Fixo(**),857.9749415867814
94,Empregos em Endereço Fixo(*),18563.00074944994
94,Empregos na Própria Residência,310.00829899161215
94,Empregos Sem Endereço Fixo(**),688.2705651232827
95,Empregos em Endereço Fixo(*),6947.525450937935
95,Empregos na Própria Residência,1055.8210082000026
95,Empregos Sem Endereço Fixo(**),1645.2231290444468
96,Empregos em Endereço Fixo(*),11093.485253212242
96,Empregos na Própria Residência,589.8633992888897
96,Empregos Sem Endereço Fixo(**),295.3881217777782
97,Empregos em Endereço Fixo(*),11510.114709408483
97,Empregos na Própria Residência,1678.4122738525095
97,Empregos Sem Endereço Fixo(**),750.2990152182472
98,Empregos em Endereço Fixo(*),8394.378852670252
98,Empregos na Própria Residência,12.436694400000013
