COD_ZONA,EMPREGO_POR_SETOR_ATIVIDADE,QTD
76,Terciário,22128.67126793378
76,Outros,0
77,Secundário,2421.0910713181884
77,Terciário,36529.14515029426
77,Outros,0
78,Secundário,2175.0405241374356
78,Terciário,22756.99265679142
78,Outros,0
79,Secundário,814.467817621074
79,Terciário,45379.63295006875
79,Outros,0
80,Secundário,1633.2922817651922
80,Terciário,25919.325086521705
80,Outros,0
81,Secundário,3899.0857912290585
81,Terciário,37741.76735931236
81,Outros,0
82,Secundário,7464.099965828185
82,Terciário,67473.99296271938
82,Outros,135.7269894611743
83,Secundário,2548.5412063204403
83,Terciário,25190.997833868896
83,Outros,60.98706891167391
84,Secundário,1146.9257917530963
84,Terciário,11616.085750372433
84,Outros,0
85,Secundário,9.876248909722232
85,Terciário,3249.269244521325
85,Outros,0
86,Secundário,207.7550812638039
86,Terciário,3695.2650532021876
86,Outros,0
87,Secundário,2489.0438630169647
87,Terciário,8325.431984078163
87,Outros,29.54725694295326
88,Secundário,958.2408810030513
88,Terciário,23154.64582601535
88,Outros,0
89,Secundário,782.0756433988108
89,Terciário,4660.326194204299
89,Outros,0
90,Secundário,794.3788307739596
90,Terciário,8946.709180097185
90,Outros,0
91,Secundário,4359.534306121833
91,Terciário,20036.593389940477
91,Outros,0
92,Secundário,1705.0760201669561
92,Terciário,11219.714084876787
92,Outros,0
93,Secundário,2751.641775621767
93,Terciário,27743.11914643192
93,Outros,0
94,Secundário,992.8764667938843
94,Terciário,18568.403146770954
94,Outros,0
95,Secundário,589.0953747064948
95,Terciário,9059.474213475889
95,Outros,0
96,Secundário,1828.3655630596704
96,Terciário,10150.371211219244
96,Outros,0
97,Secundário,415.6512263349017
97,Terciário,13523.174772144337
97,Outros,0
98,Secundário,2555.304982921214
98,Terciário,5945.140093926816
98,Outros,0
99,Secundário,7212.7642384201445
99,Terciário,15723.459024470445
99,Outros,0
100,Secundário,2553.8993736437624
100,Terciário,37863.22522885136
100,Outros,0
101,Secundário,587.577414178813
101,Terciário,10403.256985805172
101,Outros,0
102,Secundário,630.9429740050871
102,Terciário,7545.18065774412
102,Outros,0
103,Secundário,40.02741765188834
103,Terciário,2881.926266472703
103,Outros,0
104,Secundário,301.43625894333195
104,Terciário,3315.464777691265
104,Outros,0
105,Secundário,20.90386647222224
105,Terciário,16491.80560601285
105,Outros,0
106,Secundário,1646.3724472393465
106,Terciário,19307.327573214818
106,Outros,0
107,Secundário,284.83021009286625
107,Terciário,12560.467639714556
107,Outros,0
108,Secundário,501.60652423744966
108,Terciário,14748.907857995546
108,Outros,293.90493817582364
109,Secundário,7447.943168495742
109,Terciário,26937.169264319247
109,Outros,0
110,Secundário,2394.569853194741
110,Terciário,14726.041136232847
110,Outros,0
111,Secundário,1278.8855426883158
111,Terciário,16447.98224519731
111,Outros,0
112,Secundário,3653.838759555665
112,Terciário,10230.387124250812
112,Outros,0
113,Secundário,5744.549163415594
113,Terciário,12627.267591216734
113,Outros,0
114,Secundário,0
114,Terciário,210.67466585714286
114,Outros,0
115,Secundário,2273.2335040593252
115,Terciário,10511.584985813184
115,Outros,0
116,Secundário,5213.427745434959
116,Terciário,26969.954267791243
116,Outros,0
117,Secundário,3908.829002656169
117,Terciário,12629.493883161338
117,Outros,0
118,Secundário,1424.8914816932124
118,Terciário,2581.847023776109
118,Outros,0
119,Secundário,3190.974740610956
119,Terciário,10777.803029324074
119,Outros,0
120,Secundário,0
120,Terciário,0
120,Outros,0
121,Secundário,3134.634894536475
121,Terciário,12555.909336434224
121,Outros,0
122,Secundário,1404.4109749344611
122,Terciário,8205.108334343004
122,Outros,0
123,Secundário,1225.4784610666654
123,Terciário,8382.421490561017
123,Outros,0
124,Secundário,3440.453072702636
124,Terciário,14218.044109603383
124,Outros,0
125,Secundário,2145.3396567149944
125,Terciário,10224.43488207722
125,Outros,0
126,Secundário,752.3298662033303
126,Terciário,11277.223116786658
126,Outros,0
127,Secundário,5391.127093970653
127,Terciário,14497.88998580717
127,Outros,0
128,Secundário,934.3085069444455
128,Terciário,12757.924231169594
128,Outros,0
129,Secundário,1147.8982209862693
129,Terciário,13310.37643373172
129,Outros,0
130,Secundário,12.314929714285729
130,Terciário,3846.4566760614234
130,Outros,0
131,Secundário,63.85240301459227
131,Terciário,10843.47260339293
131,Outros,0
132,Secundário,0
132,Terciário,3871.103424496129
132,Outros,0
133,Secundário,273.96546019894583
133,Terciário,20091.945767282337
133,Outros,0
134,Secundário,1694.0342116910003
134,Terciário,13011.948250179124
134,Outros,0
135,Secundário,918.457587530134
135,Terciário,16526.318451178035
135,Outros,0
136,Secundário,3686.356422990541
136,Terciário,19784.344085563833
136,Outros,0
137,Secundário,5128.664712943785
137,Terciário,15758.599260925132
137,Outros,0
138,Secundário,2364.781588176492
138,Terciário,9692.06952142856
138,Outros,0
