COD_ZONA,TIPO_VIAGEM,QTD
36,Modo Não Motorizado,28889.986706504766
37,Coletivo,15945.698939615633
37,Individual,11601.313966633956
37,Modo Motorizado,27547.01290624959
37,Modo Não Motorizado,6227.445734239866
38,Coletivo,3256.745919412958
38,Individual,4207.923800737692
38,Modo Motorizado,7464.6697201506495
38,Modo Não Motorizado,4710.48954754526
39,Coletivo,15725.061346604996
39,Individual,7528.340779880651
39,Modo Motorizado,23253.40212648565
39,Modo Não Motorizado,3854.7314196796965
40,Coletivo,22626.204634726542
40,Individual,8754.563798194127
40,Modo Motorizado,31380.768432920668
40,Modo Não Motorizado,10884.75206484166
41,Coletivo,32104.011692423566
41,Individual,20954.353536981664
41,Modo Motorizado,53058.36522940523
41,Modo Não Motorizado,28242.815340022487
42,Coletivo,14834.960850080935
42,Individual,7530.154577523995
42,Modo Motorizado,22365.11542760493
42,Modo Não Motorizado,6989.634050762346
43,Coletivo,63648.71901942659
43,Individual,26279.760816354865
43,Modo Motorizado,89928.47983578146
43,Modo Não Motorizado,19403.174567982274
44,Coletivo,22844.20629286449
44,Individual,24871.56202985796
44,Modo Motorizado,47715.76832272245
44,Modo Não Motorizado,12601.382743798289
45,Coletivo,37890.447269780365
45,Individual,33564.60607893943
45,Modo Motorizado,71455.0533487198
45,Modo Não Motorizado,27264.784165842535
46,Coletivo,25168.21819380871
46,Individual,19453.44556075091
46,Modo Motorizado,44621.66375455962
46,Modo Não Motorizado,27228.2058416034
47,Coletivo,9423.54740015209
47,Individual,18377.998911063023
47,Modo Motorizado,27801.546311215112
47,Modo Não Motorizado,15640.736975102694
48,Coletivo,18540.65762083443
48,Individual,19246.92038386397
48,Modo Motorizado,37787.5780046984
48,Modo Não Motorizado,11373.557367945488
49,Coletivo,31671.43624364732
49,Individual,15164.771767091159
49,Modo Motorizado,46836.20801073848
49,Modo Não Motorizado,13363.161996345496
50,Coletivo,4743.235700260615
50,Individual,8985.975279253746
50,Modo Motorizado,13729.21097951436
50,Modo Não Motorizado,3072.782883557291
51,Coletivo,10796.922814475438
51,Individual,13095.179497638008
51,Modo Motorizado,23892.102312113446
51,Modo Não Motorizado,6067.92270150064
52,Coletivo,25042.42145420904
52,Individual,9928.541602024437
52,Modo Motorizado,34970.96305623348
52,Modo Não Motorizado,7004.622941476732
53,Coletivo,34909.749023371034
53,Individual,20064.82631552265
53,Modo Motorizado,54974.57533889369
53,Modo Não Motorizado,10803.61829096365
54,Coletivo,41146.28811863564
54,Individual,27624.16945554046
54,Modo Motorizado,68770.45757417611
54,Modo Não Motorizado,21127.70485665848
55,Coletivo,20819.831771617304
55,Individual,22880.805336648875
55,Modo Motorizado,43700.63710826618
55,Modo Não Motorizado,6764.919587151535
56,Coletivo,32368.675800258276
56,Individual,24532.381645123423
56,Modo Motorizado,56901.057445381695
56,Modo Não Motorizado,19951.8312520632
57,Coletivo,45464.108120621975
57,Individual,35204.673699046936
57,Modo Motorizado,80668.78181966892
57,Modo Não Motorizado,29945.908350408936
58,Coletivo,28276.881748644635
58,Individual,13884.011906414276
58,Modo Motorizado,42160.89365505891
58,Modo Não Motorizado,13478.399094180002
59,Coletivo,72043.31734706093
59,Individual,42645.531459447106
59,Modo Motorizado,114688.84880650803
59,Modo Não Motorizado,49772.236021917575
60,Coletivo,22198.049303386124
60,Individual,36525.36039928421
60,Modo Motorizado,58723.40970267034
60,Modo Não Motorizado,10624.674162778867
61,Coletivo,31090.237033705682
61,Individual,26940.327571833936
61,Modo Motorizado,58030.56460553962
61,Modo Não Motorizado,18050.212641948754
62,Coletivo,23844.732800829403
62,Individual,18534.542833523297
62,Modo Motorizado,42379.2756343527
62,Modo Não Motorizado,6357.334052071242
63,Coletivo,22513.021383142885
63,Individual,13197.628744493788
63,Modo Motorizado,35710.650127636676
63,Modo Não Motorizado,2433.241854417572
64,Coletivo,35778.24885871557
64,Individual,41709.566308141664
64,Modo Motorizado,77487.81516685724
64,Modo Não Motorizado,27117.963554633763
65,Coletivo,17404.889808661694
65,Individual,36515.05253329273
65,Modo Motorizado,53919.94234195442
65,Modo Não Motorizado,14411.221555160493
66,Coletivo,24181.318564822097
66,Individual,30059.52993264558
66,Modo Motorizado,54240.848497467676
66,Modo Não Motorizado,5697.380529497875
67,Coletivo,13475.583992029911
67,Individual,11558.542127087083
67,Modo Motorizado,25034.126119116994
67,Modo Não Motorizado,7670.5927049026195
68,Coletivo,58880.900050808115
68,Individual,54948.74758262287
68,Modo Motorizado,113829.64763343098
68,Modo Não Motorizado,58021.20712703614
69,Coletivo,19827.54848322456
69,Individual,23714.877804405016
69,Modo Motorizado,43542.426287629576
69,Modo Não Motorizado,17183.315555743233
70,Coletivo,22800.58372683482
70,Individual,19583.122332747604
70,Modo Motorizado,42383.70605958242
70,Modo Não Motorizado,12212.032106228977
71,Coletivo,20325.044827333408
71,Individual,31199.104307199526
71,Modo Motorizado,51524.149134532934
71,Modo Não Motorizado,15171.523863942677
72,Coletivo,24099.13014969966
72,Individual,23315.622993975772
72,Modo Motorizado,47414.753143675436
72,Modo Não Motorizado,13522.260730009206
73,Coletivo,71212.25725242107
73,Individual,50135.30881598618
73,Modo Motorizado,121347.56606840725
73,Modo Não Motorizado,59947.278732397775
74,Coletivo,37004.40351404218
74,Individual,18492.01853190389
74,Modo Motorizado,55496.42204594606
74,Modo Não Motorizado,21120.773050243708
75,Coletivo,15563.113591749338
75,Individual,15363.591111424063
75,Modo Motorizado,30926.7047031734
75,Modo Não Motorizado,11823.590368391733
76,Coletivo,16785.296103374476
76,Individual,23386.402121572377
76,Modo Motorizado,40171.69822494686
76,Modo Não Motorizado,10539.709017481033
77,Coletivo,46209.977511721525
77,Individual,28954.269696346804
77,Modo Motorizado,75164.24720806832
