COD_ZONA,NUMERO_AUTOMOVEIS,QTD
87,3 Automóveis ou Mais,119.09963573446586
87,...6,6892.999999999997
88,Nenhum Automóvel,6120.153531206899
88,1 Automóvel,10055.142944602785
88,2 Automóveis,2681.5542276250835
88,3 Automóveis ou Mais,108.14929656524649
88,...6,18965.000000000015
89,Nenhum Automóvel,1554.4952380952382
89,1 Automóvel,2720.6666666666656
89,2 Automóveis,1089.6571428571428
89,3 Automóveis ou Mais,140.18095238095236
89,...6,5504.999999999999
90,Nenhum Automóvel,1441.7498428943256
90,1 Automóvel,3156.49405144482
90,2 Automóveis,947.9652477262221
90,3 Automóveis ou Mais,120.79085793463318
90,...6,5667
91,Nenhum Automóvel,381.10766045548644
91,1 Automóvel,255.03519668737047
91,2 Automóveis,34.047619047619044
91,3 Automóveis ou Mais,6.809523809523809
91,...6,676.9999999999998
92,Nenhum Automóvel,41.48979591836735
92,1 Automóvel,54.591836734693885
92,2 Automóveis,10.918367346938778
92,3 Automóveis ou Mais,0
92,...6,107.00000000000001
93,Nenhum Automóvel,1537.876102331163
93,1 Automóvel,1771.9877420895205
93,2 Automóveis,449.292531414206
93,3 Automóveis ou Mais,84.84362416511344
93,...6,3844.0000000000027
94,Nenhum Automóvel,595.3318077803202
94,1 Automóvel,858.6041189931348
94,2 Automóveis,206.06407322654462
94,3 Automóveis ou Mais,0
94,...6,1659.9999999999995
95,Nenhum Automóvel,1542.516666666667
95,1 Automóvel,3919.866666666664
95,2 Automóveis,1116.95
95,3 Automóveis ou Mais,361.6666666666667
95,...6,6940.999999999998
96,Nenhum Automóvel,228.44198363023594
96,1 Automóvel,1168.6827154549833
96,2 Automóveis,842.3370245546462
96,3 Automóveis ou Mais,130.5382763601348
96,...6,2370.0000000000005
97,Nenhum Automóvel,964.8101220281105
97,1 Automóvel,3526.4966723384287
97,2 Automóveis,1331.0199042250922
97,3 Automóveis ou Mais,443.67330140836384
97,...6,6265.999999999995
98,Nenhum Automóvel,440
98,1 Automóvel,391.84
98,2 Automóveis,71.2
98,3 Automóveis ou Mais,6.96
98,...6,910
99,Nenhum Automóvel,1197.0944027250648
99,1 Automóvel,1461.4722837437644
99,2 Automóveis,515.6640827619417
99,3 Automóveis ou Mais,0
99,...6,3174.230769230771
100,Nenhum Automóvel,2876.019206294459
100,1 Automóvel,3585.8309117115923
100,2 Automóveis,697.1718942268158
100,3 Automóveis ou Mais,234.97798776713276
