COD_ZONA,MOTIVO_VIAGEM,QTD
7,Trabalho Indústria,8604.37689778845
7,Trabalho Comércio,22145.993336880634
7,Trabalho Serviços,24214.27355037267
7,Educação,15864.083357711608
7,Compras,9241.952077198357
7,Saúde,847.1589858545601
7,Lazer,4129.724348494757
7,Procurar Emprego,0
7,Assuntos Pessoais,4713.506582623702
7,Refeição,3399.945942307474
8,Trabalho Indústria,6017.7896267652
8,Trabalho Comércio,3632.783176828281
8,Trabalho Serviços,13133.255927706316
8,Educação,12652.555358943135
8,Compras,903.2181827631562
8,Saúde,549.7793907402573
8,Lazer,1093.3435697380069
8,Procurar Emprego,267.51894852226474
8,Assuntos Pessoais,1315.000963520454
8,Refeição,657.4606174324568
9,Trabalho Indústria,3012.3386277481723
9,Trabalho Comércio,3488.112382342883
9,Trabalho Serviços,12504.501068997592
9,Educação,10036.297217090825
9,Compras,910.8572578462982
9,Saúde,339.94455299426414
9,Lazer,1261.4967481578792
9,Procurar Emprego,476.55775107639545
9,Assuntos Pessoais,3477.366282249797
9,Refeição,761.3397393438818
10,Trabalho Indústria,1537.7254182861045
10,Trabalho Comércio,1992.505439500674
10,Trabalho Serviços,5261.481134713848
10,Educação,9050.065299644877
10,Compras,38.30005935341261
10,Saúde,217.29604526740417
10,Lazer,5402.9094627842005
10,Procurar Emprego,0
10,Assuntos Pessoais,377.42009942238343
10,Refeição,12.256359378648487
11,Trabalho Indústria,1781.5898819521697
11,Trabalho Comércio,2361.955575638002
11,Trabalho Serviços,2877.0434363990257
11,Educação,3035.673827666457
11,Compras,181.84126098037763
11,Saúde,157.92690981756598
11,Lazer,107.07567156338949
11,Procurar Emprego,0
11,Assuntos Pessoais,845.2682321019472
11,Refeição,54.6658758332792
12,Trabalho Indústria,5869.614294006108
12,Trabalho Comércio,14307.647235165983
12,Trabalho Serviços,11076.255337995026
12,Educação,6547.146045433729
12,Compras,2512.998251081088
12,Saúde,1535.626075889607
12,Lazer,1040.779318337893
12,Procurar Emprego,403.45192246732796
12,Assuntos Pessoais,2123.334366692049
12,Refeição,718.9804929193301
13,Trabalho Indústria,2546.3425914782365
13,Trabalho Comércio,9701.207755700652
13,Trabalho Serviços,2517.2155005368904
13,Educação,1124.442363097694
13,Compras,4850.186208905485
13,Saúde,45.890211171530005
13,Lazer,43.086835880478645
13,Procurar Emprego,171.53848301888047
13,Assuntos Pessoais,3774.733108177774
13,Refeição,356.1252753046698
14,Trabalho Indústria,9132.553967008513
14,Trabalho Comércio,25269.526725025626
14,Trabalho Serviços,7603.9764604884695
14,Educação,3671.6093407550534
14,Compras,14568.640906284707
14,Saúde,404.01437178592266
14,Lazer,252.24379488090236
14,Procurar Emprego,1439.5865912817426
14,Assuntos Pessoais,1480.647439323675
14,Refeição,2672.8301215178435
15,Trabalho Indústria,4679.382577290054
15,Trabalho Comércio,7557.649619195651
15,Trabalho Serviços,9862.494324548526
15,Educação,3312.5233460184354
15,Compras,4641.172914022205
15,Saúde,739.5939693589144
15,Lazer,216.05742040294012
15,Procurar Emprego,142.83090407996534
15,Assuntos Pessoais,4120.856847286632
15,Refeição,894.2133795364798
16,Trabalho Indústria,1996.4182449913071
16,Trabalho Comércio,6412.641080403279
16,Trabalho Serviços,18779.695609361726
16,Educação,7089.561359486244
16,Compras,4877.298538737985
16,Saúde,831.7194520995282
16,Lazer,1195.6377015469163
16,Procurar Emprego,325.77438001192996
16,Assuntos Pessoais,4486.415889964824
16,Refeição,2651.4077101232288
17,Trabalho Indústria,1411.0688378413088
17,Trabalho Comércio,9166.138464161804
17,Trabalho Serviços,6182.102187749091
17,Educação,9290.508137687671
17,Compras,2113.3393919045657
17,Saúde,228.87866576590352
17,Lazer,889.8587239735567
17,Procurar Emprego,0
17,Assuntos Pessoais,1574.2558868702686
17,Refeição,768.4373133780034
18,Trabalho Indústria,10003.126408534246
18,Trabalho Comércio,9859.507896822677
18,Trabalho Serviços,22076.78495880582
18,Educação,15824.78960644297
18,Compras,1959.7571213369727
18,Saúde,4141.122093374515
18,Lazer,2074.713962703326
18,Procurar Emprego,0
18,Assuntos Pessoais,5725.2434850309855
18,Refeição,2841.975212541334
19,Trabalho Indústria,1520.2903497917002
19,Trabalho Comércio,6858.724719270654
19,Trabalho Serviços,19684.013282348486
19,Educação,16525.135581952152
19,Compras,1670.0396740523138
19,Saúde,7441.522083325067
19,Lazer,1455.6562916907687
19,Procurar Emprego,0
19,Assuntos Pessoais,2362.4649811546287
19,Refeição,162.49218936186784
20,Trabalho Indústria,1530.3372234849908
20,Trabalho Comércio,3405.7934796792283
20,Trabalho Serviços,12309.628839135707
20,Educação,15125.00776374172
20,Compras,1891.4559894612937
20,Saúde,3200.7756775794387
20,Lazer,2355.0479277826776
20,Procurar Emprego,619.5950619093414
20,Assuntos Pessoais,5967.061594441219
20,Refeição,678.1046731574229
21,Trabalho Indústria,358.5994470965338
21,Trabalho Comércio,1890.6484688335759
21,Trabalho Serviços,17322.62326496878
21,Educação,15455.36732111859
21,Compras,3482.1682160341534
21,Saúde,1445.1252449763722
21,Lazer,1681.4212122049269
21,Procurar Emprego,201.48057458171513
21,Assuntos Pessoais,2354.9840112478023
21,Refeição,238.49057092430627
22,Trabalho Indústria,629.7685535866955
22,Trabalho Comércio,1582.067347013754
22,Trabalho Serviços,10048.77556940872
22,Educação,14397.691143738813
22,Compras,3635.9776529161836
22,Saúde,3218.0472244455746
22,Lazer,382.7679172578016
22,Procurar Emprego,95.6043528942835
22,Assuntos Pessoais,2424.176634095398
22,Refeição,628.2915732816721
23,Trabalho Indústria,1694.5229176877292
23,Trabalho Comércio,4309.21968434135
23,Trabalho Serviços,22823.73309595766
23,Educação,27080.628758652423
23,Compras,827.9175315954406
23,Saúde,8510.21519630685
23,Lazer,2818.316683964599
23,Procurar Emprego,499.6283383055005
23,Assuntos Pessoais,2891.487094039511
23,Refeição,2560.4398931828687
24,Trabalho Indústria,1391.330365610681
24,Trabalho Comércio,3394.710706060065
24,Trabalho Serviços,21697.189768377793
24,Educação,48289.13896410108
24,Compras,3714.1000386127166
24,Saúde,2296.65316077542
24,Lazer,3399.525668721151
24,Procurar Emprego,1016.1978307874156
24,Assuntos Pessoais,3363.849117051233
24,Refeição,1135.15922783838
25,Trabalho Indústria,1804.5805234070704
25,Trabalho Comércio,1633.2089140811381
25,Trabalho Serviços,18779.164740531724
25,Educação,12029.857897462583
25,Compras,2191.363817031928
25,Saúde,817.9589723475053
25,Lazer,880.3361142059168
25,Procurar Emprego,0
25,Assuntos Pessoais,1493.7283399714056
25,Refeição,999.9930800854277
26,Trabalho Indústria,3640.659889929174
26,Trabalho Comércio,2970.240445896987
26,Trabalho Serviços,16942.628051756215
26,Educação,17326.363176255378
26,Compras,1374.815091618139
26,Saúde,4615.351708981778
26,Lazer,3092.077554475244
26,Procurar Emprego,0
26,Assuntos Pessoais,3759.444129413422
26,Refeição,785.9786683289963
27,Trabalho Indústria,2264.4993423358087
27,Trabalho Comércio,6401.929192822597
27,Trabalho Serviços,48776.64449268838
27,Educação,22274.947177548092
27,Compras,3727.9864670237775
27,Saúde,16114.113588349652
27,Lazer,6251.246501265795
27,Procurar Emprego,229.69035980813146
27,Assuntos Pessoais,6573.526857876085
27,Refeição,5182.813280099205
28,Trabalho Indústria,3277.8261096621763
28,Trabalho Comércio,3548.823640085163
28,Trabalho Serviços,37288.27379266858
28,Educação,13197.489250008195
28,Compras,1317.5744800098032
