COD_ZONA,RAZAO_VIAGEM_A_PE,QTD
31,Ponto/ Estação Distante,128.23433002500929
31,Condução Demora para Passar,0
31,Viagem Demorada,93.06284904539073
31,Condução Lotada,0
31,Atividade Física,557.5628576922878
31,Outros Motivos,414.99253006785966
32,Pequena Distância,30199.259822625772
32,Condução Cara,304.79202984409204
32,Ponto/ Estação Distante,0
32,Condução Demora para Passar,21.39341190471944
32,Viagem Demorada,0
32,Condução Lotada,64.24640097667478
32,Atividade Física,1013.9118968261209
32,Outros Motivos,0
33,Pequena Distância,1287.0067732544373
33,Condução Cara,0
33,Ponto/ Estação Distante,0
33,Condução Demora para Passar,0
33,Viagem Demorada,0
33,Condução Lotada,0
33,Atividade Física,21.71897563983677
33,Outros Motivos,127.81590186947915
34,Pequena Distância,6798.710863620794
34,Condução Cara,0
34,Ponto/ Estação Distante,128.23433002500929
34,Condução Demora para Passar,0
34,Viagem Demorada,0
34,Condução Lotada,0
34,Atividade Física,167.82479700346653
34,Outros Motivos,0
35,Pequena Distância,39055.65602640701
35,Condução Cara,383.0027657293409
35,Ponto/ Estação Distante,144.0412454854652
35,Condução Demora para Passar,0
35,Viagem Demorada,0
35,Condução Lotada,0
35,Atividade Física,1534.7527534222447
35,Outros Motivos,2581.904244996977
36,Pequena Distância,24856.226865375735
36,Condução Cara,428.4240316081885
36,Ponto/ Estação Distante,0
36,Condução Demora para Passar,0
36,Viagem Demorada,0
36,Condução Lotada,0
36,Atividade Física,737.2185254351995
36,Outros Motivos,1679.5581010702385
37,Pequena Distância,4844.994995766593
37,Condução Cara,194.33916825921278
37,Ponto/ Estação Distante,0
37,Condução Demora para Passar,0
37,Viagem Demorada,0
37,Condução Lotada,0
37,Atividade Física,6.861830900774708
37,Outros Motivos,0
38,Pequena Distância,2781.6362938183593
38,Condução Cara,78.39653855540244
38,Ponto/ Estação Distante,17.586889482086796
38,Condução Demora para Passar,35.23037682674371
38,Viagem Demorada,0
38,Condução Lotada,0
38,Atividade Física,64.45319243063004
38,Outros Motivos,1733.1862564320384
39,Pequena Distância,3731.172825531819
39,Condução Cara,0
39,Ponto/ Estação Distante,17.586889482086796
39,Condução Demora para Passar,0
39,Viagem Demorada,0
39,Condução Lotada,0
39,Atividade Física,98.53699438811526
39,Outros Motivos,0
40,Pequena Distância,10424.80021689328
40,Condução Cara,78.96304424942812
40,Ponto/ Estação Distante,0
40,Condução Demora para Passar,0
40,Viagem Demorada,0
40,Condução Lotada,0
40,Atividade Física,300.54064115644314
40,Outros Motivos,0
41,Pequena Distância,25432.80118028233
41,Condução Cara,1241.3261468523074
41,Ponto/ Estação Distante,504.6820521369477
41,Condução Demora para Passar,0
41,Viagem Demorada,0
41,Condução Lotada,0
41,Atividade Física,409.8273413298793
41,Outros Motivos,456.34570559226023
42,Pequena Distância,6157.054128865314
42,Condução Cara,40.1706736807327
42,Ponto/ Estação Distante,0
42,Condução Demora para Passar,33.67969081187367
42,Viagem Demorada,37.493459570343994
42,Condução Lotada,0
42,Atividade Física,0
42,Outros Motivos,0
43,Pequena Distância,16552.552548059517
43,Condução Cara,1230.6228481688186
43,Ponto/ Estação Distante,96.01845569979014
43,Condução Demora para Passar,0
43,Viagem Demorada,85.68574042168463
43,Condução Lotada,0
43,Atividade Física,649.0950918703505
43,Outros Motivos,89.53900764477429
44,Pequena Distância,11346.257924954609
44,Condução Cara,260.6517427891649
44,Ponto/ Estação Distante,0
44,Condução Demora para Passar,0
44,Viagem Demorada,0
44,Condução Lotada,0
44,Atividade Física,561.0265212441371
44,Outros Motivos,0
45,Pequena Distância,24622.374113228583
45,Condução Cara,331.788531680607
45,Ponto/ Estação Distante,0
45,Condução Demora para Passar,0
45,Viagem Demorada,0
45,Condução Lotada,97.51227194342177
45,Atividade Física,417.96366805867666
45,Outros Motivos,14.937345363410758
46,Pequena Distância,25584.60035314576
46,Condução Cara,386.71854961706964
46,Ponto/ Estação Distante,0
46,Condução Demora para Passar,345.3350945822126
46,Viagem Demorada,0
46,Condução Lotada,0
46,Atividade Física,0
46,Outros Motivos,477.4392640608139
47,Pequena Distância,13976.118351812212
47,Condução Cara,921.7911858460768
47,Ponto/ Estação Distante,0
47,Condução Demora para Passar,0
47,Viagem Demorada,0
47,Condução Lotada,0
47,Atividade Física,107.11836164105182
47,Outros Motivos,183.52049573203337
48,Pequena Distância,9753.313675694866
48,Condução Cara,954.5104980827787
48,Ponto/ Estação Distante,72.5022176717372
48,Condução Demora para Passar,0
48,Viagem Demorada,0
48,Condução Lotada,0
48,Atividade Física,79.12915009842908
48,Outros Motivos,0
49,Pequena Distância,12165.773055536229
49,Condução Cara,147.28752374140132
49,Ponto/ Estação Distante,0
