COD_ZONA,EMPREGO_EXTERNO_INTERNO,QTD
94,Trabalho Externo(*),1792.7551168741832
94,Trabalho Interno,17768.524496690647
95,Trabalho Externo(*),671.9089024426831
95,Trabalho Interno,8976.660685739704
96,Trabalho Externo(*),1494.9768341789854
96,Trabalho Interno,10483.759940099922
97,Trabalho Externo(*),1897.2080355731991
97,Trabalho Interno,12041.61796290605
98,Trabalho Externo(*),229.82944965305364
98,Trabalho Interno,8270.615627194977
99,Trabalho Externo(*),3215.9964663733563
99,Trabalho Interno,19720.226796517243
100,Trabalho Externo(*),4474.275611817767
100,Trabalho Interno,35942.848990677354
101,Trabalho Externo(*),907.5170827936023
101,Trabalho Interno,10083.317317190385
102,Trabalho Externo(*),484.2767251455473
102,Trabalho Interno,7691.8469066036605
103,Trabalho Externo(*),30.493321425287366
103,Trabalho Interno,2891.460362699304
104,Trabalho Externo(*),452.4893109522049
104,Trabalho Interno,3164.411725682392
105,Trabalho Externo(*),1225.5777752598433
105,Trabalho Interno,15287.131697225235
106,Trabalho Externo(*),2342.9454420796756
106,Trabalho Interno,18610.75457837449
107,Trabalho Externo(*),674.8308649339152
107,Trabalho Interno,12170.466984873508
108,Trabalho Externo(*),2277.651919489943
108,Trabalho Interno,13266.767400918874
109,Trabalho Externo(*),2024.070520805425
109,Trabalho Interno,32361.041912009572
110,Trabalho Externo(*),3773.0300606604296
110,Trabalho Interno,13347.580928767156
111,Trabalho Externo(*),1681.005320419629
111,Trabalho Interno,16045.862467466002
112,Trabalho Externo(*),2715.318201488287
112,Trabalho Interno,11168.90768231819
113,Trabalho Externo(*),4563.511077075708
113,Trabalho Interno,13808.305677556626
114,Trabalho Externo(*),0
114,Trabalho Interno,210.67466585714286
115,Trabalho Externo(*),1760.3577993729095
115,Trabalho Interno,11024.4606904996
116,Trabalho Externo(*),6314.790183910206
116,Trabalho Interno,25868.591829315978
117,Trabalho Externo(*),1767.8852110448377
117,Trabalho Interno,14770.43767477267
118,Trabalho Externo(*),1263.7286308776397
118,Trabalho Interno,2743.009874591682
119,Trabalho Externo(*),788.8694758446088
119,Trabalho Interno,13179.908294090419
120,Trabalho Externo(*),0
120,Trabalho Interno,0
121,Trabalho Externo(*),2713.818679883359
121,Trabalho Interno,12976.72555108734
122,Trabalho Externo(*),4633.535819560254
122,Trabalho Interno,4975.983489717212
123,Trabalho Externo(*),2085.709424899998
123,Trabalho Interno,7522.190526727685
124,Trabalho Externo(*),1311.617674442963
124,Trabalho Interno,16346.87950786305
125,Trabalho Externo(*),2697.400017337618
125,Trabalho Interno,9672.374521454594
126,Trabalho Externo(*),2443.4076693124243
126,Trabalho Interno,9586.145313677565
127,Trabalho Externo(*),1554.265687911397
127,Trabalho Interno,18334.751391866423
128,Trabalho Externo(*),526.4391657887171
128,Trabalho Interno,13165.793572325327
129,Trabalho Externo(*),433.4200306323955
129,Trabalho Interno,14024.854624085592
130,Trabalho Externo(*),60.887331081081086
130,Trabalho Interno,3797.8842746946275
131,Trabalho Externo(*),1363.5947652507791
131,Trabalho Interno,9543.73024115674
132,Trabalho Externo(*),485.7877390772809
132,Trabalho Interno,3385.3156854188483
133,Trabalho Externo(*),1252.2129176381177
133,Trabalho Interno,19113.698309843163
134,Trabalho Externo(*),1970.4736104831227
134,Trabalho Interno,12735.508851387001
135,Trabalho Externo(*),1765.441426568511
135,Trabalho Interno,15679.334612139659
136,Trabalho Externo(*),2860.1337043388075
136,Trabalho Interno,20610.56680421557
137,Trabalho Externo(*),4369.859188053912
137,Trabalho Interno,16517.404785815004
138,Trabalho Externo(*),2350.64533649055
138,Trabalho Interno,9706.205773114503
139,Trabalho Externo(*),3150.1192886527324
139,Trabalho Interno,11017.448999645783
140,Trabalho Externo(*),3942.748151938446
140,Trabalho Interno,12293.888666518926
141,Trabalho Externo(*),3435.391077795771
141,Trabalho Interno,18417.514366781725
142,Trabalho Externo(*),3176.154617842889
142,Trabalho Interno,14498.040879191609
143,Trabalho Externo(*),0
143,Trabalho Interno,0
144,Trabalho Externo(*),5095.05328720625
144,Trabalho Interno,24994.858147805164
145,Trabalho Externo(*),178.3689858867923
145,Trabalho Interno,2214.055449789944
146,Trabalho Externo(*),0
146,Trabalho Interno,0
147,Trabalho Externo(*),3587.240780299299
147,Trabalho Interno,9723.265828089934
148,Trabalho Externo(*),1056.7170822656242
148,Trabalho Interno,6779.231719996266
149,Trabalho Externo(*),0
149,Trabalho Interno,68.44721766666667
150,Trabalho Externo(*),875.9873584105726
150,Trabalho Interno,9393.42951721181
151,Trabalho Externo(*),1282.1338407101473
151,Trabalho Interno,19728.40553692508
