COD_ZONA,GRAU_INSTRUCAO,QTD
87,Fundamental II Completo/ Médio Incompleto,997.1573646060222
87,Médio Completo/ Superior Incompleto,2888.2990891792297
87,Superior Completo,9958.267545117462
88,Não Alfabetizado/ Fundamental I Incompleto,4651.255129567622
88,Fundamental I Completo/ Fundamental II Incompleto,1487.415501977868
88,Fundamental II Completo/ Médio Incompleto,2963.6927287050944
88,Médio Completo/ Superior Incompleto,7745.86759142287
88,Superior Completo,28507.7744921156
89,Não Alfabetizado/ Fundamental I Incompleto,1958.935041583334
89,Fundamental I Completo/ Fundamental II Incompleto,1085.9288661428573
89,Fundamental II Completo/ Médio Incompleto,548.7813622142855
89,Médio Completo/ Superior Incompleto,3594.0869477738097
89,Superior Completo,6805.266393023812
90,Não Alfabetizado/ Fundamental I Incompleto,1450.9892248586218
90,Fundamental I Completo/ Fundamental II Incompleto,564.7513986317596
90,Fundamental II Completo/ Médio Incompleto,806.6519840662459
90,Médio Completo/ Superior Incompleto,3079.3278055383494
90,Superior Completo,7330.28160811724
91,Não Alfabetizado/ Fundamental I Incompleto,556.3978054289336
91,Fundamental I Completo/ Fundamental II Incompleto,534.9959018590658
91,Fundamental II Completo/ Médio Incompleto,356.4395179778657
91,Médio Completo/ Superior Incompleto,603.854732188491
91,Superior Completo,298.3120487072067
92,Não Alfabetizado/ Fundamental I Incompleto,41.122372846153965
92,Fundamental I Completo/ Fundamental II Incompleto,32.239626230769325
92,Fundamental II Completo/ Médio Incompleto,15.486056653846198
92,Médio Completo/ Superior Incompleto,106.96389265384647
92,Superior Completo,128.1881170384619
93,Não Alfabetizado/ Fundamental I Incompleto,986.1864903637265
93,Fundamental I Completo/ Fundamental II Incompleto,846.9041917858915
93,Fundamental II Completo/ Médio Incompleto,788.4516169951513
93,Médio Completo/ Superior Incompleto,2647.3460538577
93,Superior Completo,3763.1096496078794
94,Não Alfabetizado/ Fundamental I Incompleto,442.0382112120226
94,Fundamental I Completo/ Fundamental II Incompleto,358.48952706197565
94,Fundamental II Completo/ Médio Incompleto,148.1992642162161
94,Médio Completo/ Superior Incompleto,864.5462526276795
94,Superior Completo,2179.727795895155
95,Não Alfabetizado/ Fundamental I Incompleto,1860.5142699500043
95,Fundamental I Completo/ Fundamental II Incompleto,925.5138060000022
95,Fundamental II Completo/ Médio Incompleto,1622.690719722224
95,Médio Completo/ Superior Incompleto,4301.062254405567
95,Superior Completo,8947.2163339333365
96,Não Alfabetizado/ Fundamental I Incompleto,608.6200828444453
96,Fundamental I Completo/ Fundamental II Incompleto,480.78148871111193
96,Fundamental II Completo/ Médio Incompleto,443.5421011555563
96,Médio Completo/ Superior Incompleto,926.9675266666679
96,Superior Completo,4751.08623572778
97,Não Alfabetizado/ Fundamental I Incompleto,1341.9362153463628
97,Fundamental I Completo/ Fundamental II Incompleto,1493.3962762391043
97,Fundamental II Completo/ Médio Incompleto,1300.6910445882643
97,Médio Completo/ Superior Incompleto,3148.616690181369
97,Superior Completo,9325.360921869285
98,Não Alfabetizado/ Fundamental I Incompleto,427.5235068740734
98,Fundamental I Completo/ Fundamental II Incompleto,342.60722431851804
98,Fundamental II Completo/ Médio Incompleto,354.05515057036996
98,Médio Completo/ Superior Incompleto,623.6260905185179
98,Superior Completo,704.1876902370371
99,Não Alfabetizado/ Fundamental I Incompleto,1327.1414873347542
